row_id,text,aspect,declared_sentiment,supported,sentiment_match,note,overall_note
7,"Data Structures in my last semester was a mix: the concepts clicked when we discussed them, but the examples felt thin and feedback came a bit late. The peer discussions saved me during the busy weeks, especially around the project week that stood out.",__row_summary__,,False,False,supported 1/2; sentiment 0/2,"Only the interest aspect is discussed, and its sentiment appears mixed rather than clearly positive."
8,"The Operating Systems course fit my schedule more than my interests, and being new to the discipline, I relied mostly on recordings and notes. The slides are serviceable but not memorable, and the workload felt heavy with frequent deadlines, especially during a rough mid‑semester crunch; the platform quirks added extra stress I wish were avoided. One concrete annoyance: the grader seemed to expect more prior knowledge than advertised, which didn’t help my first-semester learning pace.",workload,neutral,True,False,"The review says the workload felt heavy with frequent deadlines and a stressful mid-semester crunch, indicating negative sentiment, not neutral.",Both aspects are discussed in the review but the declared sentiments conflict with the negative descriptions.
8,"The Operating Systems course fit my schedule more than my interests, and being new to the discipline, I relied mostly on recordings and notes. The slides are serviceable but not memorable, and the workload felt heavy with frequent deadlines, especially during a rough mid‑semester crunch; the platform quirks added extra stress I wish were avoided. One concrete annoyance: the grader seemed to expect more prior knowledge than advertised, which didn’t help my first-semester learning pace.",tooling_usability,positive,True,False,"The review mentions platform quirks that added extra stress, which is negative rather than positive.",Both aspects are discussed in the review but the declared sentiments conflict with the negative descriptions.
8,"The Operating Systems course fit my schedule more than my interests, and being new to the discipline, I relied mostly on recordings and notes. The slides are serviceable but not memorable, and the workload felt heavy with frequent deadlines, especially during a rough mid‑semester crunch; the platform quirks added extra stress I wish were avoided. One concrete annoyance: the grader seemed to expect more prior knowledge than advertised, which didn’t help my first-semester learning pace.",__row_summary__,,True,False,supported 2/2; sentiment 0/2,Both aspects are discussed in the review but the declared sentiments conflict with the negative descriptions.
9,"I took Machine Learning mainly out of curiosity, and I kept up with nearly every lecture, which helped since the material fits best when you already know adjacent topics. My strong coding background helped me implement the ideas, but the theory still felt a little thin, and I learned a lot more than I enjoyed, especially because the practical payoff didn’t land as cleanly as I hoped. The slides were serviceable but not memorable, and the grading rubric left me unsure what exactly counted, even though the LMS flow stayed smooth. One memorable week was the midterm where I realized I’d mixed up a couple of model assumptions; it was a humbling moment, and it sticks with me more than the overall vibe of the course.",practical_application,negative,True,True,"The reviewer says the 'practical payoff didn’t land as cleanly as I hoped,' indicating dissatisfaction with real-world/practical usefulness.",The label is supported and the negative sentiment aligns with the review’s view of the course’s practical payoff.
9,"I took Machine Learning mainly out of curiosity, and I kept up with nearly every lecture, which helped since the material fits best when you already know adjacent topics. My strong coding background helped me implement the ideas, but the theory still felt a little thin, and I learned a lot more than I enjoyed, especially because the practical payoff didn’t land as cleanly as I hoped. The slides were serviceable but not memorable, and the grading rubric left me unsure what exactly counted, even though the LMS flow stayed smooth. One memorable week was the midterm where I realized I’d mixed up a couple of model assumptions; it was a humbling moment, and it sticks with me more than the overall vibe of the course.",__row_summary__,,True,True,supported 1/1; sentiment 1/1,The label is supported and the negative sentiment aligns with the review’s view of the course’s practical payoff.
10,"I’m in my first semester here, juggling a full-time job, and Data Structures felt like it was designed around stacked deadlines more than a steady pace, which made sticking to a study plan tricky. The weeks vary a lot—one day we’re rushing through big-O proofs and the next we’re staring at pointer diagrams—so I end up second-guessing whether I should focus on the lecture slides or the assigned practice sets. The collaboration expectations are vague to me; it isn’t clear when we should pair up, and I’ve not felt confident about what my teammates are actually supposed to hand in. The course has only a few big assessments, but each one carries a lot of weight, which is fine in theory, but the grading feels opaque enough that I’m never sure what exactly to tighten up before the midterm. A standout thing is the occasional in-class hiccup—like a slide not loading, and then we spend five minutes on a different example—that small friction sticks in my memory. It works best if you’ve already seen some adjacent material, and I think I would’ve preferred a bit more steady delivery. Overall, it’s been calm but uneven, with a few concrete quirks that keep me from feeling fully confident.",grading_transparency,neutral,True,False,"The student says grading feels opaque and they're never sure what to improve before the midterm, indicating negative transparency rather than neutral.","The aspect is mentioned, but the declared neutral sentiment is not faithful to the review’s negative wording."
10,"I’m in my first semester here, juggling a full-time job, and Data Structures felt like it was designed around stacked deadlines more than a steady pace, which made sticking to a study plan tricky. The weeks vary a lot—one day we’re rushing through big-O proofs and the next we’re staring at pointer diagrams—so I end up second-guessing whether I should focus on the lecture slides or the assigned practice sets. The collaboration expectations are vague to me; it isn’t clear when we should pair up, and I’ve not felt confident about what my teammates are actually supposed to hand in. The course has only a few big assessments, but each one carries a lot of weight, which is fine in theory, but the grading feels opaque enough that I’m never sure what exactly to tighten up before the midterm. A standout thing is the occasional in-class hiccup—like a slide not loading, and then we spend five minutes on a different example—that small friction sticks in my memory. It works best if you’ve already seen some adjacent material, and I think I would’ve preferred a bit more steady delivery. Overall, it’s been calm but uneven, with a few concrete quirks that keep me from feeling fully confident.",__row_summary__,,True,False,supported 1/1; sentiment 0/1,"The aspect is mentioned, but the declared neutral sentiment is not faithful to the review’s negative wording."
11,"I took Linear Algebra with Dr. Miller while working full-time, and the practical steps—like applying vector spaces to real problems—felt really useful, even as the early confusion about eigenvectors stuck with me the rest of the term. The LMS and submission flow stayed smooth, but feedback came too late to adjust for the next deadline stacked up on me; plus the few assessments mattered a lot, which made the whole pace feel intense. I relied on fellow students more than staff sometimes, and I remember one misstep on a project where I mixed up a row-reduction method and it colored how I approached everything else",practical_application,positive,True,True,Says the practical steps and applying vector spaces to real problems felt really useful.,Only practical application is clearly supported; the other labels infer aspects not explicitly addressed in the review.
11,"I took Linear Algebra with Dr. Miller while working full-time, and the practical steps—like applying vector spaces to real problems—felt really useful, even as the early confusion about eigenvectors stuck with me the rest of the term. The LMS and submission flow stayed smooth, but feedback came too late to adjust for the next deadline stacked up on me; plus the few assessments mattered a lot, which made the whole pace feel intense. I relied on fellow students more than staff sometimes, and I remember one misstep on a project where I mixed up a row-reduction method and it colored how I approached everything else",lecturer_quality,positive,False,False,"Mentions taking the course with Dr. Miller but gives no clear evaluation of the lecturer; comments focus on confusion, feedback timing, and reliance on peers.",Only practical application is clearly supported; the other labels infer aspects not explicitly addressed in the review.
11,"I took Linear Algebra with Dr. Miller while working full-time, and the practical steps—like applying vector spaces to real problems—felt really useful, even as the early confusion about eigenvectors stuck with me the rest of the term. The LMS and submission flow stayed smooth, but feedback came too late to adjust for the next deadline stacked up on me; plus the few assessments mattered a lot, which made the whole pace feel intense. I relied on fellow students more than staff sometimes, and I remember one misstep on a project where I mixed up a row-reduction method and it colored how I approached everything else",exam_fairness,negative,False,False,No explicit discussion of exams or fairness; only notes that few assessments carried heavy weight and the pace felt intense.,Only practical application is clearly supported; the other labels infer aspects not explicitly addressed in the review.
11,"I took Linear Algebra with Dr. Miller while working full-time, and the practical steps—like applying vector spaces to real problems—felt really useful, even as the early confusion about eigenvectors stuck with me the rest of the term. The LMS and submission flow stayed smooth, but feedback came too late to adjust for the next deadline stacked up on me; plus the few assessments mattered a lot, which made the whole pace feel intense. I relied on fellow students more than staff sometimes, and I remember one misstep on a project where I mixed up a row-reduction method and it colored how I approached everything else",__row_summary__,,False,False,supported 1/3; sentiment 1/3,Only practical application is clearly supported; the other labels infer aspects not explicitly addressed in the review.
12,"I had a strong coding background but weak theory, and despite clear lectures, the workload plus a mid‑semester crunch made the OS material feel steep; I relied on recordings and notes, and peer discussions saved me more than the official materials, especially around the grading quirks.",overall_experience,negative,True,True,"The reviewer describes the material as steep due to workload/crunch and says peer discussions helped more than official materials, implying a negative overall experience.","Overall experience is correctly labeled negative, but assessment_design should not be positive given the grading/assessment issues mentioned."
12,"I had a strong coding background but weak theory, and despite clear lectures, the workload plus a mid‑semester crunch made the OS material feel steep; I relied on recordings and notes, and peer discussions saved me more than the official materials, especially around the grading quirks.",assessment_design,positive,True,False,"The mention of a mid-semester crunch and 'grading quirks' suggests problems with assessment/grading, not a positive assessment design.","Overall experience is correctly labeled negative, but assessment_design should not be positive given the grading/assessment issues mentioned."
12,"I had a strong coding background but weak theory, and despite clear lectures, the workload plus a mid‑semester crunch made the OS material feel steep; I relied on recordings and notes, and peer discussions saved me more than the official materials, especially around the grading quirks.",__row_summary__,,True,False,supported 2/2; sentiment 1/2,"Overall experience is correctly labeled negative, but assessment_design should not be positive given the grading/assessment issues mentioned."
13,"Took Database Systems with Dr. Singh and it fit my short evening study blocks, solid B kind of matched the effort I could put in. The workload felt doable and the peer chats helped more than the official readings, though the assessments were heavy on reports and the feedback came in late to actually help me time things. One memorable week was that messy data-model quiz, and I’ll admit the prerequisite groundwork paid off even if attendance drifted mid‑semester.",organization,neutral,False,False,"The review mentions workload, assessments, and timing of feedback, but does not clearly evaluate course organization/structure overall.","Support and workload labels align with the text, but organization is not clearly addressed."
13,"Took Database Systems with Dr. Singh and it fit my short evening study blocks, solid B kind of matched the effort I could put in. The workload felt doable and the peer chats helped more than the official readings, though the assessments were heavy on reports and the feedback came in late to actually help me time things. One memorable week was that messy data-model quiz, and I’ll admit the prerequisite groundwork paid off even if attendance drifted mid‑semester.",support,negative,True,True,"Student says peer chats helped more than official readings and that feedback came in late to help, indicating inadequate instructional support.","Support and workload labels align with the text, but organization is not clearly addressed."
13,"Took Database Systems with Dr. Singh and it fit my short evening study blocks, solid B kind of matched the effort I could put in. The workload felt doable and the peer chats helped more than the official readings, though the assessments were heavy on reports and the feedback came in late to actually help me time things. One memorable week was that messy data-model quiz, and I’ll admit the prerequisite groundwork paid off even if attendance drifted mid‑semester.",workload,positive,True,True,"They explicitly say the workload felt doable and fit their study blocks, which is a positive workload sentiment despite heavy report-based assessments.","Support and workload labels align with the text, but organization is not clearly addressed."
13,"Took Database Systems with Dr. Singh and it fit my short evening study blocks, solid B kind of matched the effort I could put in. The workload felt doable and the peer chats helped more than the official readings, though the assessments were heavy on reports and the feedback came in late to actually help me time things. One memorable week was that messy data-model quiz, and I’ll admit the prerequisite groundwork paid off even if attendance drifted mid‑semester.",__row_summary__,,False,False,supported 2/3; sentiment 2/3,"Support and workload labels align with the text, but organization is not clearly addressed."
14,"I picked Database Systems mainly to fit my evenings, studied around short sessions, and felt the workload ramp up fast. The software stack started rough but got manageable; exams felt fair, though feedback varied and the pace stayed uneven week to week. Overall, I’d recommend with preparation.",exam_fairness,positive,True,True,"The review explicitly says 'exams felt fair,' which supports a positive exam fairness label.","Exam fairness is clearly supported as positive, while materials are not clearly addressed in the text."
14,"I picked Database Systems mainly to fit my evenings, studied around short sessions, and felt the workload ramp up fast. The software stack started rough but got manageable; exams felt fair, though feedback varied and the pace stayed uneven week to week. Overall, I’d recommend with preparation.",materials,neutral,False,False,"The review mentions software stack, workload, feedback, and pace, but does not clearly discuss course materials (e.g., lectures/readings/slides).","Exam fairness is clearly supported as positive, while materials are not clearly addressed in the text."
14,"I picked Database Systems mainly to fit my evenings, studied around short sessions, and felt the workload ramp up fast. The software stack started rough but got manageable; exams felt fair, though feedback varied and the pace stayed uneven week to week. Overall, I’d recommend with preparation.",__row_summary__,,False,False,supported 1/2; sentiment 1/2,"Exam fairness is clearly supported as positive, while materials are not clearly addressed in the text."
15,"Took Computer Networks with Dr. Park while working full-time, so I lived by late nights and the constant dance of task vs. deadline. The first week I ran into an early confusion about TCP handshakes that colored the term, and while the later weeks improved, some lectures felt uneven and the tool setup ate more time than the payoff, especially since the course is mostly individual work and the assessments were fair but exhausting.",overall_experience,neutral,True,True,"The review mixes negatives (confusion, uneven lectures, tool setup time, exhausting workload) with some positives/neutral notes (later weeks improved, assessments fair), yielding an overall mixed/neutral tone.","Only the overall experience is clearly discussed and it reads as mixed/neutral, while practical application and relevance are not directly addressed."
15,"Took Computer Networks with Dr. Park while working full-time, so I lived by late nights and the constant dance of task vs. deadline. The first week I ran into an early confusion about TCP handshakes that colored the term, and while the later weeks improved, some lectures felt uneven and the tool setup ate more time than the payoff, especially since the course is mostly individual work and the assessments were fair but exhausting.",practical_application,neutral,False,False,"The review discusses workload, lectures, tools, and fairness but does not clearly address real-world/practical applicability of what was learned.","Only the overall experience is clearly discussed and it reads as mixed/neutral, while practical application and relevance are not directly addressed."
15,"Took Computer Networks with Dr. Park while working full-time, so I lived by late nights and the constant dance of task vs. deadline. The first week I ran into an early confusion about TCP handshakes that colored the term, and while the later weeks improved, some lectures felt uneven and the tool setup ate more time than the payoff, especially since the course is mostly individual work and the assessments were fair but exhausting.",relevance,neutral,False,False,"There is no explicit statement about how relevant the course content was to goals, career, or broader curriculum needs.","Only the overall experience is clearly discussed and it reads as mixed/neutral, while practical application and relevance are not directly addressed."
15,"Took Computer Networks with Dr. Park while working full-time, so I lived by late nights and the constant dance of task vs. deadline. The first week I ran into an early confusion about TCP handshakes that colored the term, and while the later weeks improved, some lectures felt uneven and the tool setup ate more time than the payoff, especially since the course is mostly individual work and the assessments were fair but exhausting.",__row_summary__,,False,False,supported 1/3; sentiment 1/3,"Only the overall experience is clearly discussed and it reads as mixed/neutral, while practical application and relevance are not directly addressed."
16,"Data Structures in my first semester was fine enough to keep me moving, but I didn’t come away buzzing with enthusiasm. I felt solid B-level work matched the effort I threw in, though I did fall behind around midterms and then managed to scramble back to catch deadlines after a few late nights. The course mostly required a few big assessments, and each one mattered a lot for the grade, which kept me focused even as some admin messages felt sloppy and missed cues about due dates. The collaboration expectations felt unclear, and the prerequisite fit is real—this works best if you already know some adjacent material. One concrete snag: the mid-semester project relied on a tool I barely knew, which added to the pull of the deadlines rather than easing them. Overall, useful but not exactly enjoyable, and I’m still not sure I’d fully recommend it.",overall_experience,neutral,True,True,"The reviewer describes the course as ""fine enough"" and ""useful"" but ""not exactly enjoyable"" and unsure they'd recommend it, which reads as mixed/neutral overall.","The neutral overall_experience label is supported by a clearly mixed, lukewarm review."
16,"Data Structures in my first semester was fine enough to keep me moving, but I didn’t come away buzzing with enthusiasm. I felt solid B-level work matched the effort I threw in, though I did fall behind around midterms and then managed to scramble back to catch deadlines after a few late nights. The course mostly required a few big assessments, and each one mattered a lot for the grade, which kept me focused even as some admin messages felt sloppy and missed cues about due dates. The collaboration expectations felt unclear, and the prerequisite fit is real—this works best if you already know some adjacent material. One concrete snag: the mid-semester project relied on a tool I barely knew, which added to the pull of the deadlines rather than easing them. Overall, useful but not exactly enjoyable, and I’m still not sure I’d fully recommend it.",__row_summary__,,True,True,supported 1/1; sentiment 1/1,"The neutral overall_experience label is supported by a clearly mixed, lukewarm review."
17,"Calculus II came up last semester, and I kept the videos and notes handy only when I actually needed them for a tough homework set about integrals, since the material felt pretty dense but builds on what we were told to know beforehand. The TAs were responsive and practical when I asked quick questions, though the feedback timing varied a lot by assignment, and the heavy deadline load kept me on my toes. One concrete thing that sticks: a unit on improper integrals that finally clicked after a late-night, coffee-fueled review, even though the grading quirks on that problem didn’t always reflect the effort",clarity,neutral,True,True,"The student describes the material as 'pretty dense' but also building on prerequisites, which reads as mixed/neutral clarity overall.","Clarity and assessment design are supported with neutral/negative tones respectively, while feedback quality is portrayed as mixed rather than purely positive."
