item_id,review_text,judgment,confidence,notes
R012,All the lecture series were understandable and many questions were discussed during the class.The tutorial class really helped to solve our problems in implementing concepts that taught in the class room. Discussing past papers during the tutorial class was really helped to get an idea about the paper and also the course.We felt free to ask question during the class time and we were able solve our questions in the class room. So we were able to finish the course successfully.,,,
R027,"> We were taught OOP concepts in first few lectures, but I could not understand the mechanism to use those concepts. >After doing some example questions, my problem was solved. >Therefore, if you can do small example questions(with explaining codes) in first few lectures it will be helpful for those who are struggling with java. >Furthermore, if you can show codes while explaining, it is better than writing codes on the board.",,,
R023,"OOP is undoubtedly the most important module and we started our semester project (Swimming Competition) with a great joy with the intention to do a great creation by the semester end. But complex topics like Concurrency come, lectures went really really fast and the most of us could not grab much from the lecture. We noticed that the lecturer is trying to cover all the slides within the day and to explain the topics for us only if time permits. But that attempt was not so successful. Lecturers did their best, we know! But time allocated for the subject is not enough; or there must be something wrong in somewhere-else. We understood this subject only at the last week of the semester. But when we get the big picture, we were late! For the project, we could not apply things we learned during last 2 weeks, so how can it measure our true learning? It was a so tight schedule!!! At the end of the semester, all the lecturers are only concentrating on covering the slides and to finish getting the continuous assessment marks of ours. We came to CSE with the trust you made in us through the first semester well-structured lecture series. But now we see this as a race; not a true teaching-learning process. Honor Code pledges were taken at the beginning to make sure that we learn everything by our own self. We thought we came to heaven like department where the lecturers help us to grow and we thought we are gonna be one big family. But now we know it is just marketing. We love learning these subjects; the truth is these are not hard for us. But please give students some time to go to the depth and do things with a better-understanding! Covering the module and doing the CA evaluations can be done after students learn the subject properly. If our department continues this way for future, you would one day make a stack-overflow generation; not a skilled and creative workforce! My request is to give students the freedom to learn concepts and do things creatively, then they will master in the subject. Isn't it the ultimate purpose of both parties?? Please give us support to learn things properly first, we really want to learn, we have that passion for the subject! Please make that environment at CSE!!! Thank you very much madam for everything you taught us throughout the semester! We know you did a great job for us, although the module was so lengthy for this semester!! Hope our feedback would help the administration to make a better CSE Dept tomorrow!",,,
R001,She expects a lot from students but you will learn more from her than any other English proff. Very helpful. She loves what she does.,,,
S007,"I signed up for Database Systems out of curiosity, and the first week left me a bit tangled because I came in thinking I’d need less boilerplate than usual, but the lectures were clearer than I expected and moved at a decent pace. The summer term pacing felt compressed, and I had enough time to keep up, though motivation drifted in and out; the workload was heavy on reports and the feedback came fast, but sometimes the explanations felt thin. Still, I’d recommend it to others who already know a bit of adjacent material and want a solid, practical push.",,,
S024,"I came into Operating Systems more curious than ready for the grind, and the course mostly delivered what I expected from an advanced elective. The platform quirks and the project-heavy workload? they made evenings feel longer and a bit stressful, especially when the grading curve loomed and a single missed deadline could jam the whole week. It builds on the prerequisites pretty solidly, but I found the vibe better with a study group and a few late-night debugging sessions more memorable than the lectures themselves.",,,
R017,"Everything was good. Nothing to be noticed as a flaw. The only thing is, I would've loved it more if we had extra time to practice examples at home. Of course, it is not a fault of this module. But I'm not sure if there's going to be another chance to say this. That's why I'm mentioning this here. I would love to practice Object Oriented Programming all day than reading ""Manufacturing Engineering"" and other non-CS modules. Being someone who is obsessed with Computer Science, this module was one of my favorites.",,,
R029,"\'s a smart guy and loves technology (most people his age are technophobes, so it\'s good he knows how to use a computer). His online tests are nice because you can retake them as many times as you want untill you get 100% (except the last test, the final). But he\'s soooo borring. I\'d never fallen asleep in a class until I took his class in Fall of 2003. You can learn some good stuff if you pay attention, and that\'s a big if. Very dry and borring. Class isn\'t to hard though.",,,
S002,"The Database Systems course in my last semester felt a bit rough around the edges; the grading rubric was vague and the prerequisite feel like more than advertised, but I still kept up with a solid B. The midterm crunch didn’t help, and email support was slow, though feedback came quickly enough to revise.",,,
S010,"I came away with a solid B that felt like it matched the effort I put in, especially since the summer term moved at a compressed pace and mid-semester crunch rolled in hard. The course did a decent job filling gaps in my weaker theory background, perhaps better than I expected, and I appreciated that the prerequisite material isn’t as intimidating as I feared. Recorded lectures are useful enough to rewatch during late-night coding sprints, but they’re kind of dry, which made the weeks drag on when motivation dipped. Peer discussions helped more than the official slides or problem sets, and I found myself learning a lot just by comparing how others approached the same network examples. One quirk I’ll remember: the exam felt fair enough, with questions that aligned to what we actually did in recitation, even if the pacing sometimes left me scrambling to finish a couple of quick-hit tasks. Email support was slow when deadlines loomed, so I relied more on a buddy who kept the cadence going, which helped me push through the rough patch. Overall, I learned a ton, even if the experience wasn’t exactly enjoyable.",,,
S017,"Machine Learning with Dr. Chen was tougher than I expected for an advanced elective, and keeping up while juggling other hard courses was brutal. The setup for tools felt like a time sink, but lectures were clear and deadlines piled up.",,,
R022,"Your brief but resourceful and sharp lecture was very helpful to get an ""out of box"" idea about what we were learning during last few weeks I am sure that Noun/Verb Analysis, CRC Modeling, OO Principles-SOLID theories that you taught us on that day, will make our lives easier when developing a new program. But as we are learning OOP concepts by JAVA, it would be more effective if you had explained Polymorphism from JAVA instead of C++ Thank you sir very much for spending your valuable time for us.",,,
R021,". K is a pretty funny guy and he\'s very reasonable on assignments and grading. He really likes his upper division students and even brought us pizza. Easy B, but an A will require just a little effort.",,,
R007,until lecture of Abstraction it was easy to understand and after that from polymorphysim it was little hard to understand the theory.but since we had in class activities and various activities in lab session we could be able to understand that. if we can have the answers of in class activities and lab activities after that week it will be more help to us to identify our weaknesses and improve our skill.,,,
R015,explain with practical and real time examples tell us more advises for our self-development and our career rather than talking the module matters.,,,
R034,"All seven lectures were good for me. But, I think there are some people don't know java. Onething would be helpful to them that you might tell section or topic in java what you were going to do in next lectures. All of the lectures were awesome. But madam, I am afraid of exam that there are essay type questions in past final examinations. I understood everything you taught in the subject. But, I don't have plenty of words to describe that since I haven't done them yet. Madam, do I need to write exactly what you taught or can I write it using some of my own words? Home and I class activities would be helpful to everybody if they have done it themselves. Semester project also helped me to experience programming principles while going through it.",,,
S031,"I’m in Computer Networks this semester, juggling it with a couple of other heavy courses, and I’ve found it mostly doable but exhausting in some parts. The class feels like an introductory service course that assumes you’ll pick up concepts quickly, and I remember getting stuck on the early idea of routing tables—once that clicked later, the rest of the term sort of followed, but that initial confusion echoed through many weeks. Dr. Miller lectures are clear enough, but the way updates and policy notes are communicated feels sloppy at times, so I relied on recordings and my own notes more than anything the staff actually circulating. The platform setup took more time than the payoff, and the tooling headaches rarely lined up with the actual assignments, which was frustrating during a midterm crunch. I’ve noticed the course works best if you team up with a study group, since the collaboration structure makes more sense when you bounce ideas off others, and the peer help often outpaced staff responses. By the end I’m not sure I’d recommend it outright, but I’ll admit the hands-on parts grew on me, even if the design of assessments left me tired and a bit unsure about where I stood.",,,
R004,The lecture series was in general good. I personally found it hard to read one whole chapter every week. For operating systems also we have a chapter to read and I know it is not an excuse. But it was my experience that I found it a bit hard.,,,
R037,"is a good teacher. In the beginning of the semester he will break the class up into groups. If your group sucks your grade could go down a couple of points. READ READ READ, that is the only way to get a good grade. And make sure that you do the quizzes those are easy ""a\'s"". And at the end attendence is added to extra credit.",,,
R031,"Man, this teacher is what all teachers should be!!! If you have a class that he teaches, you should soooooo take him! He\'s wonderful!",,,
S016,"I’m comfortable with proofs, but Database Systems pushed me in a direction I didn’t expect, and I felt the material was solidly organized, especially the conceptual explanations Dr. Singh gave. The examples felt a bit thin, which didn’t help my recall when I got stuck on early concepts, and I fell behind for a stretch before catching up near deadlines. TA support was genuinely practical and quick, which helped, though feedback sometimes arrived too late to adjust my approach in time. I’d recommend this course only if you’re ready to build a study group and come in with some momentum, because the workload is neutral and the real value comes from those focused discussions and the way the group pieces things together.",,,
S014,"I’m in my first semester and took Linear Algebra with Prof. Cohen while juggling a full-time job, so accessibility in catching up has been a big plus—the lectures break things down conceptually, even if the examples feel a bit thin at times. I appreciated quick feedback on assignments that let me adjust my approach, but the delays on some feedback items meant I had to keep a mental note and move on anyway. The forums and office hours help a lot, though a few threads were recently dismissive when I asked for clarification on a matrix decomposition step I didn’t fully grasp yet. I’d only recommend the course if you’re prepared to put in extra time and skim through the forums for quick nudges before the next deadline.",,,
S028,"I’m glad I stuck with Data Structures, even though the setup felt a little heavier than advertised and I’m not really a systems person. Prof. Rios is solid, but the course assumes more prior knowledge than I expected, so I spent early evenings scrambling through proofs and data-wrangling basics to keep up. The stack we used started rough—a few quirks in the tooling—but once I found a study group, things clicked and the projects actually made sense, especially the late-semester turning point where a messy last-minute bug finally clicked with the algorithm idea. The workload is heavy on reports, and it wears you down even when the core ideas are fair; still, the sense of progress when a tough implementation finally works is real.",,,
S033,"Taking Cyber Security Basics in the middle of a brutal semester, I stuck around mostly because the schedule fit better than my real interest in the topics, and yes, I’m comfortable with proofs but not really the systems-heavy parts, so I felt a bit out of my element more often than I’d like. The design of assessments rubbed me the wrong way: the quizzes felt rushed and the problem sets seemed to hinge on a single tricky twist rather than a clear through-line, which left me frustrated but still slogging through to the return date. Tooling setup was a pain—getting the environment running on my laptop took longer than any actual lab work, and I spent more hours chasing dependencies than learning anything practical. The slides are serviceable but not memorable, and I can’t shake the feeling that I walked away with ideas rather than concrete takeaways, even though the prerequisite material built on what was stated. Office hours rescued the course for me more than once, a small mercy on weeks with inconsistent motivation and time pressure that was manageable most weeks. One week stands out: a surprisingly tough exam week where I memorably blanked on a specific networking diagram, and that moment echoed how the design didn’t align with how I study best. I’d recommend it only if you’re prepared for rough tooling days and you know you’ll actually show up for the support and push through the pace.",,,
R003,If you get him for con law (or any class really) be prepared to learn everything yourself as his lecture adds nothing. Really irritating man.,,,
R039,I think has lot of experience in this field and also in lecturing.So as he said i would like him to come again and do more lectures for us.,,,
R019,"rst of all, I am sorry that I couldn't give my feedback earlier. In these two years, my favourite lecture is yours. Your style of lecturing, the commitment you showed have really inspired me. whenever I come to your lecture I come with pleasure. I used to sit in the back because I am very much concentrated and comfortable there, please forgive me sir, if that bothers you. I am sure that you are a big aspiration for most of us. I wish I have all the lecturers lecture like you. I remember that you tapped on my shoulders for answering a question. It feels very much to me sir. I always love this type of encouragement from this university but I only got few. Your idea of a facebook group is excellent. I don't know how many people follow them but for me, it's really worthy. So please continue that in the future as well. Thank you for being an inspiration for all of us and sorry sir if we have done anything wrong that hurts you. Thank you so much. You inspired me a lot. I will remember you forever.",,,
R026,"Though most of the students are kinds of experts in java, I'm just a beginner. But I have learned the language quicker than I thought. There are pros and cons regarding the semester project. Thanks to the project I was motivated to learn Java quickly as well as in a well ordered manner (unlike python, I used to learn concepts in coding). But meanwhile since it's my first (considerably long) code in java I know that I have made some errors and I've corrected them as much as I can (not all of them), knowing that I won't be doing the same error in my next program. Apart from coding, everything else was just perfect! Thanks :)",,,
R020,"think giving informations, websites, and opportunities on internet to develop our knowledge after the exam is very helpful to us . ..",,,
S036,"Data Structures with Prof. Haddad was the main focus of my term, and I kept up with nearly every lecture, but the deadlines stacked up unexpectedly and feedback felt sparse until it was too late; still, office hours saved me during a tough week.",,,
S013,"I signed up for Operating Systems mainly because I’m curious how stuff like schedulers and memory management actually work, but the course structure made it feel like you had to hunt for the signal through a lot of noise. The lectures felt practical in a way that kept things organized—slides were serviceable and I appreciated that the core ideas showed up in the right places, even if they didn’t stick in my memory the way a catchy diagram would. My background is strong in coding but weak on theory, so I mostly used the materials when I hit a roadblock or needed a quick reference rather than following every week’s cadence. The setup for the tooling took more effort than I expected, and I ended up spending extra time just getting the environment to run, which didn’t always pay off in deeper understanding. I relied on forums, office hours, and the TAs to parse deadlines and ambiguous instructions, since the admin side left too much room for interpretation and I didn’t want to chase minor ambiguities. By the end I barely passed after struggling most of the term, and I wouldn’t say the delivery left a lasting impression, but I learned a lot in a messy, hard-won way.",,,
S006,"Database Systems was a slog more than I expected, but the pacing finally clicked once I got past that early bug in the query optimizer and stopped fighting the theory gaps I had. The term felt packed with deadlines, yet the work was doable since the TAs answered fast and gave practical fixes; I barely squeezed a pass, but I saw how it builds on the prerequisites and the projects weren’t random fluff.",,,
S004,"This summer OS course felt like sprinting through a cloud of jargon while juggling a full-time job, and I mostly lived on recordings and notes. The grading rubric was vague, and the prerequisite vibe was tougher than advertised, so I felt a bit set up to fail. Office hours rescued me once I asked about a flaky process for the project, but collaboration expectations remained murky. It’s learned a lot, but I still disliked the ride.",,,
R028,"Very good prof, great notes, but tests are not so easy. Very helpful at any time",,,
S021,"Midway through the semester in Machine Learning, I’m feeling mixed but mostly stuck in the middle of a heavy crunch. The quick feedback on scores comes through fast, but the explanations feel pretty thin, which makes it hard to tell if a C actually means I’m missing the point or just not getting the phrasing right yet. I’m new to the discipline, so I’m still learning the basics, and the few assessments that actually matter—there aren’t many, but they loom large—have me scrambling to catch up around deadlines. I do better when I have a study group, and this course kind of shines there; chatting through a confusing concept helps more than the lecture slides, which feel a bit boilerplate. The tooling setup adds friction—setting up the environment and chasing library versions ate into learning time, and I’m not sure the payoff matches the effort. Compared to another course I took this term, this one dragged a bit during the mid–semester crunch, even though the exam felt fair and the material aligned with what I’m trying to grasp, if not mastered yet. Overall, I’m still figuring out whether I’m getting the right signal from my work.",,,
S018,"I took Machine Learning as a required track course, and I stuck with nearly every lecture even though I’m coming from a strong coding background but weak on the theory side. The instructor has a knack for big-picture explanations, but the actual examples felt thin and sometimes felt like they were skimming over the hard parts I was hoping to see demonstrated. The tooling setup, on the other hand, was rough enough to slow me down more than once, and the project-heavy grading with high-stakes exams was a stress pattern I didn’t fully adapt to, especially since the prerequisites feel like they’re best if you already know adjacent material. Still, it did push me to connect coding to models more concretely, and I barely passed after wrestling through most of the term, which has me mildly glad I didn’t bail earlier.",,,
R006,"uley an ideal teacher! Really laid-back, funny, and super nice! But be prepared to write cuz thats what the class if based on...just 5 write-ups of your choice out of 10 & a final paper on a book you read. Pretty simple. I definately reccomend him...if you don\'t mind writing a little.",,,
S039,"This Calculus II elective felt like wandering through a math maze while my brain kept forgetting how to thread the basics, and yeah, the difficulty was a constant pebble in my backpack. I’m a returning student trying to rust off the math from a few years ago, so the lectures are useful enough to jog memory, but they’re pretty dry and sometimes drag, especially when the recordings skip through steps I want to rewatch. The forums help me feel less alone, but I’ve seen a few threads that read dismissive or like people are racing to be the smartest, which didn’t help my rusty confidence. Most weeks I was juggling short evening study sessions, and the time pressure was manageable, but feedback rolled in sparse until right before deadlines—which felt like a last-minute nudge rather than steady guidance. The independent work mostly suited me, since I didn’t need a lot of peer pull, though I wish the structure encouraged a bit more collaboration. One memorable moment was that brutal week around the midterm where I realized I’d forgotten a common substitution trick, and I scrambled to patch it up last minute. Overall, I’m sticking with it, but I’d hoped for quicker notes on mistakes.",,,
R030,It is good that we got weekly exercises in JAVA. I think we shouldn't have given the semester project at the beginning of the course where most of us didn't know much about JAVA and OOP concepts. And regarding the semester project it some instances I felt like description given was not enough to construct the game. Because still there are grey areas where we are not clear what should happen in such an instance in the simulation. But by that semester project I could get the concepts and learned JAVA to a considerable extent.,,,
S037,"Dr. Miller was clear most of the time, and I kept up with nearly every lecture in Computer Networks, but the grading comments came too late to help, and tooling issues during the week of the big exam lingered; one memorable week was that tricky TCP practice project.",,,
R013,Good professor. Went a little fast at times which was hard for us non=computer people but all in all a good class. WAY better than Quant 1!!!,,,
S040,"Starting Cyber Security Basics in my first semester felt like jumping into a puzzle where I could see the pieces but not the full picture, and my strong coding background helped me survive, though the theory parts left me scratching my head. I remember a moment early on when I misread a lab prompt and spent hours chasing a wrong assumption, which shaped my approach for most of the term and made me more anxious about every subsequent assignment until the rubric finally clarified itself—sort of. The mix of assessments never quite matched the lectures for me: we had tight deadlines for weekly quizzes and a big practical project that demanded more design thinking than code, and the grading rubric still felt vague, with comments arriving late enough that I’d already moved on to the next topic. Still, the course did fill some gaps I had, especially around getting a realistic sense of what a security review looks like, and the hands-on parts with the small incident-response drill helped me connect the dots in a way the lectures often didn’t. The instructor was approachable, which I appreciated, even if the overall grading felt like a friction point I had to navigate more than learn from, and I ended up barely passing after a rough term.",,,
S034,"Honestly, I’m new to the discipline and the basics were already a lot to juggle, but this course felt like the required checkpoint I had to clear for the track. I kept up with nearly every lecture, and peer discussions sometimes helped more than the official materials, which was both reassuring and a little frustrating when the answers came too late or didn’t fit my questions. The toolset started rough for me—yes, the software stack was clunky at first—but I managed to get through it, and the later work felt more doable, if not elegant. There was a late-semester turning point that finally clicked, and I realized the prerequisites fit me better than I expected, even as I doubted the pacing and the sparse feedback until it was nearly over.",,,
R011,"-Letters were small and sometimes marker pens had less ink. -I love architecture practical series because it tested if we had studied the lectures every week. I don't always study. In almost every lab, I was able to go through the lecture note and complete the lab successfully. That practical series made us sure that we would not miss any lecture. OOP practical sessions has no use other than wasting time without a proper day end objective. I think it was my main reason (or at least my main not-motivation) to become imperfect in OOP module. -Keep on the java course at the beginning. -Less examples in UML class diagrams. Some websites confused some definitions. Do some in-class UML class diagram.",,,
S029,"I took Operating Systems mainly to fill a window in my last semester schedule and felt a bit rusty at first, especially around the actual hands-on parts. The LMS flow was smooth and I appreciated that the few assessments each mattered a lot, which kept me focused even during a mid-semester crunch; group work sometimes clicked when the team pulled together, though it faltered when someone wasn’t as responsive. It’s an advanced elective that rewards knowing adjacent material, and I’m not fully sure I’d recommend it without that",,,
R008,"At the very beginning I always used to be in the back row, I think I have missed things, that you teach because of the distractions I worked with. I thought the book is too much. But When I got to read the book I realized that the book contains nothing, but day today examples that everyone can understand. Then I moved to the front rows to interact with the subject properly, Actually the passion you teach is very good, the examples that you took out from the industry, your working experience and the jokes that made (some jokes are beyond my limit). everything contains some valuable thing regarding our career. And the most important thing is madam your availability to us, Nobody afraid to go and share the subject matters with you. Because we might not get problems during the lecture time. Every time after a mid exam, you have discussed the paper in next class. That is perfect. That helps to correct our mistakes, and to get proper idea of your point of view to the question. Because different people has different views to the same problem. So we were able to create a common good view by discussing the problems. Thank you madam,",,,
S025,"Cyber Security Basics with Dr. Park was clear at first and paced okay, but as mid-semester hit I started slipping behind since attendance faded while juggling a full-time work schedule. The heavy report load felt fair yet exhausting, and collaboration expectations were unclear, which didn’t help someone new to the discipline. I kept thinking it would click, but the prerequisite feel and the time sink kept dragging me down.",,,
S032,"Taking Computer Networks this term basically became my main focus, and I leaned on recordings and notes a lot because the live lectures didn’t stick for me, even though the slides were serviceable. I appreciated the practical bite in the project where we mapped a small network and performance measurements, but the grading comments dragged a bit after the deadline, which left the mid-semester crunch feeling even rougher.",,,
R009,thought that this professor was horrible. I dreaded going to the class everyday and when he told me that he was not sure how I had made it through college this far... I wanted to tell him to kiss my ass. I hated his teaching style and consider him one of the worst teachers I have ever taken.,,,
R035,"ful instructor. Intensely focused on theory and over-complicating subject matter to feed his own ego. Zero interest in students, arrogant, and more interested in failing students. Class average for midterms was below 70%, showing he can\'t teach the material he expects students to know. Avoid at all costs.",,,
S008,"Returning to Database Systems as a required track course, I kept up with nearly every lecture but still felt rusty, and I barely squeaked by this term. The teacher can explain concepts clearly, but the real examples were thin, so I spent extra time trying to map ideas to something concrete I could actually code. I appreciated that the prerequisite gaps were filled better than I expected, and the fast feedback on quizzes kept me from spiraling, even though the explanations behind the marks felt lightweight. Time pressure was usually manageable, and I did notice the work was mostly individual, which didn’t help when I wanted a quick sanity check with a classmate. I remember one office-hours chat where we walked through a tricky join, and that small moment kept me going, but I still can’t honestly recommend it despite some value.",,,
R010,"I have filled this student feedback forms after every semester, but this module is the only one which I marked ""5"" for every question without any dought. I'm thankful to the lecturer as we were interested and enthusiastically joined the lecture because of his ability to explain things very clearly and being practical. I always had a problem of getting less marks than I expected but because of mid semester evaluation and opportunity to see the paper again made me realize most of my mistakes and I'm really thankful for that. 2) Regarding quality assurance , other than the problems that have mentioned already , I find some problems in our university as an undergraduate. I don't think the washrooms in common areas like canteens are not well maintained ( its better than before) and I'd like to request to keep a hand wash or soap if possible. Also there are many stray dogs in canteens and common areas and it is a threat for our safety because there are many health problems that can be occurred becaue of them in future. ( kindly request for a solution which doesn't harm those dogs)",,,
S020,"Taking Computer Networks in my last semester, I enjoyed the challenge enough to push through, even though the weekly feel was uneven and some instructions left a lot open to interpretation. The few big assessments mattered a lot, and with a strong coding background I could code around the concepts, but the forums could be helpful yet sometimes felt dismissive. Not sure I’d fully recommend it, but the curiosity kept me going.",,,
S026,"So, I’m in the middle of a heavy semester, trying to fit this ML course into short evening study sessions, and I barely passed after I wrestled with it most of the term. The lectures are useful once you’re able to sit through them, but they’re mostly dry and hard to stay engaged with after a long day. I liked that the materials were solid and the core ideas were laid out clearly enough to follow along if I forced myself to take notes, but the whole tool setup took more time than the payoff, which was frustrating when you’re juggling other classes. Most of the work was solo, with little peer dependency, so I spent more time chasing answers in forums than actually collaborating, which felt oddly isolating. The staff weren’t as responsive as I’d hoped, and it seemed like students helped each other more than the instructors or TAs did, which made the support feel adrift. A concrete moment that sticks: I spent an entire evening wrestling with configuring the experiment runner, only to realize the grading quirks skewed the deadline by a day, which added unnecessary stress. I’d probably avoid taking it again, even though it did push me to figure things out, but I’m glad I learned something workable from the grind.",,,
R024,"It was really helpful to find the relevance of oop in software developing. Even though i'd gone through the theorems and definitions off oop to a certain extent , still i find it somewhat difficult to apply ones it comes to the design phase. So it helped be a great deal to enhance OOP thinking pattern .",,,
R025,"First four lectures was easy to understand and the concepts were taught in a excellent manner by doing in class activities.Continuing the semester project and doing in class activities,as the concepts are taught helped me to understand the points that I struggle with.In talking about teaching style lecturer's teaching style is excellent but in terms of improvement it will be more better if the examples are explained slowly and precisely.honestly, I learn the most through examples.In addition to that lecture five six was difficult for me to understand.In lecture 6 there wasn't enough examples describing A\association.I would be grateful if is explained again in a tutorial class.Lecture 7 was regarding an in class activity.Through that lecture I was quite able to understand UML diagrams.",,,
S001,"Calculus II felt like an introductory service course that assumed more prior math than I had from proof-heavy work, so I mostly relied on recordings and notes to keep up. The thing that stuck was how the assessments hit hard each time, with only a few tasks but each one carrying a lot of weight, which made time pressure really brutal because I took it alongside another hard class. The support channel sometimes helped, but email responses dragged right into deadlines, which didn’t help when I needed quick clarifications. Group work could be fine when the team actually functioned, though that didn’t always happen. One concrete annoyance: the prerequisite vibe was off—the syllabus warned x, but the problem set often felt like you needed y knowledge to even start.",,,
R036,Very good teacher. He teaches everything very clearly and step by step to make sure you understand it.,,,
