custom_id,dataset,row_idx,variant,gt_faithful,labels,n_aspects
v7_herath_1324_inject,herath,1324,inject,False,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""neutral"", ""overall_experience"": ""negative"", ""organization"": ""positive""}",4
v7_herath_1209_faithful,herath,1209,faithful,True,"{""lecturer_quality"": ""negative"", ""grading_transparency"": ""neutral""}",2
v7_herath_1209_flip,herath,1209,flip,False,"{""lecturer_quality"": ""positive"", ""grading_transparency"": ""negative""}",2
v7_herath_1209_inject,herath,1209,inject,False,"{""lecturer_quality"": ""negative"", ""grading_transparency"": ""neutral"", ""organization"": ""negative""}",3
v7_herath_466_faithful,herath,466,faithful,True,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive"", ""exam_fairness"": ""neutral""}",3
v7_herath_466_flip,herath,466,flip,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""negative"", ""exam_fairness"": ""negative""}",3
v7_herath_466_inject,herath,466,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive"", ""exam_fairness"": ""neutral"", ""accessibility"": ""negative""}",4
v7_herath_2717_faithful,herath,2717,faithful,True,"{""lecturer_quality"": ""positive"", ""accessibility"": ""positive""}",2
v7_herath_2717_flip,herath,2717,flip,False,"{""lecturer_quality"": ""negative"", ""accessibility"": ""negative""}",2
v7_herath_2717_inject,herath,2717,inject,False,"{""lecturer_quality"": ""positive"", ""accessibility"": ""positive"", ""workload"": ""negative""}",3
v7_herath_2587_faithful,herath,2587,faithful,True,"{""workload"": ""negative"", ""materials"": ""negative""}",2
v7_herath_2587_flip,herath,2587,flip,False,"{""workload"": ""positive"", ""materials"": ""positive""}",2
v7_herath_2587_inject,herath,2587,inject,False,"{""workload"": ""negative"", ""materials"": ""negative"", ""accessibility"": ""positive""}",3
v7_herath_1046_faithful,herath,1046,faithful,True,"{""lecturer_quality"": ""negative"", ""assessment_design"": ""negative""}",2
v7_herath_1046_flip,herath,1046,flip,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""positive""}",2
v7_herath_1046_inject,herath,1046,inject,False,"{""lecturer_quality"": ""negative"", ""assessment_design"": ""negative"", ""organization"": ""positive""}",3
v7_herath_2155_faithful,herath,2155,faithful,True,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive""}",2
v7_herath_2155_flip,herath,2155,flip,False,"{""overall_experience"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_2155_inject,herath,2155,inject,False,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive"", ""assessment_design"": ""positive""}",3
v7_herath_1080_faithful,herath,1080,faithful,True,"{""lecturer_quality"": ""positive"", ""organization"": ""negative"", ""exam_fairness"": ""neutral""}",3
v7_herath_1080_flip,herath,1080,flip,False,"{""lecturer_quality"": ""negative"", ""organization"": ""positive"", ""exam_fairness"": ""negative""}",3
v7_herath_1080_inject,herath,1080,inject,False,"{""lecturer_quality"": ""positive"", ""organization"": ""negative"", ""exam_fairness"": ""neutral"", ""overall_experience"": ""positive""}",4
v7_herath_2197_faithful,herath,2197,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_2197_flip,herath,2197,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_2197_inject,herath,2197,inject,False,"{""lecturer_quality"": ""positive"", ""organization"": ""negative""}",2
v7_herath_1370_faithful,herath,1370,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1370_flip,herath,1370,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1370_inject,herath,1370,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""negative""}",2
v7_herath_1825_faithful,herath,1825,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1825_flip,herath,1825,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1825_inject,herath,1825,inject,False,"{""lecturer_quality"": ""positive"", ""organization"": ""positive""}",2
v7_herath_224_faithful,herath,224,faithful,True,"{""overall_experience"": ""positive"", ""organization"": ""neutral""}",2
v7_herath_224_flip,herath,224,flip,False,"{""overall_experience"": ""negative"", ""organization"": ""negative""}",2
v7_herath_224_inject,herath,224,inject,False,"{""overall_experience"": ""positive"", ""organization"": ""neutral"", ""grading_transparency"": ""negative""}",3
v7_herath_2226_faithful,herath,2226,faithful,True,"{""overall_experience"": ""positive""}",1
v7_herath_2226_flip,herath,2226,flip,False,"{""overall_experience"": ""negative""}",1
v7_herath_2226_inject,herath,2226,inject,False,"{""overall_experience"": ""positive"", ""grading_transparency"": ""positive""}",2
v7_herath_1477_faithful,herath,1477,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1477_flip,herath,1477,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1477_inject,herath,1477,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""negative""}",2
v7_herath_1935_faithful,herath,1935,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1935_flip,herath,1935,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1935_inject,herath,1935,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""positive""}",2
v7_herath_1974_faithful,herath,1974,faithful,True,"{""organization"": ""positive"", ""lecturer_quality"": ""neutral"", ""exam_fairness"": ""neutral""}",3
v7_herath_1974_flip,herath,1974,flip,False,"{""organization"": ""negative"", ""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative""}",3
v7_herath_1974_inject,herath,1974,inject,False,"{""organization"": ""positive"", ""lecturer_quality"": ""neutral"", ""exam_fairness"": ""neutral"", ""materials"": ""negative""}",4
v7_herath_2018_faithful,herath,2018,faithful,True,"{""overall_experience"": ""positive""}",1
v7_herath_2018_flip,herath,2018,flip,False,"{""overall_experience"": ""negative""}",1
v7_herath_2018_inject,herath,2018,inject,False,"{""overall_experience"": ""positive"", ""workload"": ""negative""}",2
v7_herath_2452_faithful,herath,2452,faithful,True,"{""organization"": ""neutral""}",1
v7_herath_2452_flip,herath,2452,flip,False,"{""organization"": ""negative""}",1
v7_herath_2452_inject,herath,2452,inject,False,"{""organization"": ""neutral"", ""accessibility"": ""positive""}",2
v7_herath_2112_faithful,herath,2112,faithful,True,"{""organization"": ""positive""}",1
v7_herath_2112_flip,herath,2112,flip,False,"{""organization"": ""negative""}",1
v7_herath_2112_inject,herath,2112,inject,False,"{""organization"": ""positive"", ""assessment_design"": ""positive""}",2
v7_herath_504_faithful,herath,504,faithful,True,"{""lecturer_quality"": ""negative""}",1
v7_herath_504_flip,herath,504,flip,False,"{""lecturer_quality"": ""positive""}",1
v7_herath_504_inject,herath,504,inject,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""negative""}",2
v7_herath_1710_faithful,herath,1710,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1710_flip,herath,1710,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1710_inject,herath,1710,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""negative""}",2
v7_herath_2239_faithful,herath,2239,faithful,True,"{""organization"": ""positive"", ""materials"": ""positive""}",2
v7_herath_2239_flip,herath,2239,flip,False,"{""organization"": ""negative"", ""materials"": ""negative""}",2
v7_herath_2239_inject,herath,2239,inject,False,"{""organization"": ""positive"", ""materials"": ""positive"", ""assessment_design"": ""positive""}",3
v7_herath_1590_faithful,herath,1590,faithful,True,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""positive"", ""assessment_design"": ""positive"", ""materials"": ""positive""}",4
v7_herath_1590_flip,herath,1590,flip,False,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative"", ""assessment_design"": ""negative"", ""materials"": ""negative""}",4
v7_herath_1590_inject,herath,1590,inject,False,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""positive"", ""assessment_design"": ""positive"", ""materials"": ""positive"", ""workload"": ""positive""}",5
v7_herath_1725_faithful,herath,1725,faithful,True,"{""overall_experience"": ""negative""}",1
v7_herath_1725_flip,herath,1725,flip,False,"{""overall_experience"": ""positive""}",1
v7_herath_1725_inject,herath,1725,inject,False,"{""overall_experience"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_2177_faithful,herath,2177,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_2177_flip,herath,2177,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_2177_inject,herath,2177,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""positive""}",2
v7_herath_1210_faithful,herath,1210,faithful,True,"{""lecturer_quality"": ""neutral""}",1
v7_herath_1210_flip,herath,1210,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1210_inject,herath,1210,inject,False,"{""lecturer_quality"": ""neutral"", ""accessibility"": ""negative""}",2
v7_herath_2103_faithful,herath,2103,faithful,True,"{""organization"": ""positive"", ""lecturer_quality"": ""neutral""}",2
v7_herath_2103_flip,herath,2103,flip,False,"{""organization"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_2103_inject,herath,2103,inject,False,"{""organization"": ""positive"", ""lecturer_quality"": ""neutral"", ""workload"": ""positive""}",3
v7_herath_2060_faithful,herath,2060,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_2060_flip,herath,2060,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_2060_inject,herath,2060,inject,False,"{""lecturer_quality"": ""positive"", ""accessibility"": ""negative""}",2
v7_herath_1191_faithful,herath,1191,faithful,True,"{""lecturer_quality"": ""neutral"", ""exam_fairness"": ""neutral""}",2
v7_herath_1191_flip,herath,1191,flip,False,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative""}",2
v7_herath_1191_inject,herath,1191,inject,False,"{""lecturer_quality"": ""neutral"", ""exam_fairness"": ""neutral"", ""organization"": ""positive""}",3
v7_herath_91_faithful,herath,91,faithful,True,"{""organization"": ""positive"", ""lecturer_quality"": ""positive""}",2
v7_herath_91_flip,herath,91,flip,False,"{""organization"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_91_inject,herath,91,inject,False,"{""organization"": ""positive"", ""lecturer_quality"": ""positive"", ""workload"": ""positive""}",3
v7_herath_72_faithful,herath,72,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_72_flip,herath,72,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_72_inject,herath,72,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""negative""}",2
v7_herath_951_faithful,herath,951,faithful,True,"{""materials"": ""positive"", ""lecturer_quality"": ""positive""}",2
v7_herath_951_flip,herath,951,flip,False,"{""materials"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_951_inject,herath,951,inject,False,"{""materials"": ""positive"", ""lecturer_quality"": ""positive"", ""assessment_design"": ""negative""}",3
v7_herath_1564_faithful,herath,1564,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_1564_flip,herath,1564,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1564_inject,herath,1564,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive""}",2
v7_herath_1996_faithful,herath,1996,faithful,True,"{""lecturer_quality"": ""neutral""}",1
v7_herath_1996_flip,herath,1996,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_1996_inject,herath,1996,inject,False,"{""lecturer_quality"": ""neutral"", ""overall_experience"": ""negative""}",2
v7_herath_2096_faithful,herath,2096,faithful,True,"{""organization"": ""positive"", ""lecturer_quality"": ""positive"", ""materials"": ""positive""}",3
v7_herath_2096_flip,herath,2096,flip,False,"{""organization"": ""negative"", ""lecturer_quality"": ""negative"", ""materials"": ""negative""}",3
v7_herath_2096_inject,herath,2096,inject,False,"{""organization"": ""positive"", ""lecturer_quality"": ""positive"", ""materials"": ""positive"", ""workload"": ""positive""}",4
v7_herath_982_faithful,herath,982,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_982_flip,herath,982,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_982_inject,herath,982,inject,False,"{""lecturer_quality"": ""positive"", ""organization"": ""positive""}",2
v7_herath_2108_faithful,herath,2108,faithful,True,"{""lecturer_quality"": ""neutral""}",1
v7_herath_2108_flip,herath,2108,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_2108_inject,herath,2108,inject,False,"{""lecturer_quality"": ""neutral"", ""assessment_design"": ""positive""}",2
v7_herath_573_faithful,herath,573,faithful,True,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""neutral""}",2
v7_herath_573_flip,herath,573,flip,False,"{""lecturer_quality"": ""negative"", ""assessment_design"": ""negative""}",2
v7_herath_573_inject,herath,573,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""neutral"", ""exam_fairness"": ""negative""}",3
v7_herath_2272_faithful,herath,2272,faithful,True,"{""lecturer_quality"": ""neutral""}",1
v7_herath_2272_flip,herath,2272,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_2272_inject,herath,2272,inject,False,"{""lecturer_quality"": ""neutral"", ""organization"": ""positive""}",2
v7_herath_1670_faithful,herath,1670,faithful,True,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative""}",2
v7_herath_1670_flip,herath,1670,flip,False,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""positive""}",2
v7_herath_1670_inject,herath,1670,inject,False,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative"", ""workload"": ""negative""}",3
v7_herath_414_faithful,herath,414,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_414_flip,herath,414,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_414_inject,herath,414,inject,False,"{""lecturer_quality"": ""positive"", ""accessibility"": ""negative""}",2
v7_herath_1094_faithful,herath,1094,faithful,True,"{""lecturer_quality"": ""negative"", ""grading_transparency"": ""positive""}",2
v7_herath_1094_flip,herath,1094,flip,False,"{""lecturer_quality"": ""positive"", ""grading_transparency"": ""negative""}",2
v7_herath_1094_inject,herath,1094,inject,False,"{""lecturer_quality"": ""negative"", ""grading_transparency"": ""positive"", ""workload"": ""negative""}",3
v7_herath_890_faithful,herath,890,faithful,True,"{""lecturer_quality"": ""negative""}",1
v7_herath_890_flip,herath,890,flip,False,"{""lecturer_quality"": ""positive""}",1
v7_herath_890_inject,herath,890,inject,False,"{""lecturer_quality"": ""negative"", ""workload"": ""negative""}",2
v7_herath_398_faithful,herath,398,faithful,True,"{""lecturer_quality"": ""positive"", ""materials"": ""positive""}",2
v7_herath_398_flip,herath,398,flip,False,"{""lecturer_quality"": ""negative"", ""materials"": ""negative""}",2
v7_herath_398_inject,herath,398,inject,False,"{""lecturer_quality"": ""positive"", ""materials"": ""positive"", ""exam_fairness"": ""positive""}",3
v7_herath_1845_faithful,herath,1845,faithful,True,"{""lecturer_quality"": ""negative""}",1
v7_herath_1845_flip,herath,1845,flip,False,"{""lecturer_quality"": ""positive""}",1
v7_herath_1845_inject,herath,1845,inject,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""negative""}",2
v7_herath_141_faithful,herath,141,faithful,True,"{""materials"": ""positive"", ""organization"": ""positive"", ""lecturer_quality"": ""positive""}",3
v7_herath_141_flip,herath,141,flip,False,"{""materials"": ""negative"", ""organization"": ""negative"", ""lecturer_quality"": ""negative""}",3
v7_herath_141_inject,herath,141,inject,False,"{""materials"": ""positive"", ""organization"": ""positive"", ""lecturer_quality"": ""positive"", ""workload"": ""positive""}",4
v7_herath_2054_faithful,herath,2054,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_2054_flip,herath,2054,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_2054_inject,herath,2054,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""negative""}",2
v7_herath_1631_faithful,herath,1631,faithful,True,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive""}",2
v7_herath_1631_flip,herath,1631,flip,False,"{""overall_experience"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_1631_inject,herath,1631,inject,False,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive"", ""workload"": ""negative""}",3
v7_herath_217_faithful,herath,217,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_217_flip,herath,217,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_217_inject,herath,217,inject,False,"{""lecturer_quality"": ""positive"", ""assessment_design"": ""positive""}",2
v7_herath_2248_faithful,herath,2248,faithful,True,"{""lecturer_quality"": ""positive"", ""workload"": ""positive""}",2
v7_herath_2248_flip,herath,2248,flip,False,"{""lecturer_quality"": ""negative"", ""workload"": ""negative""}",2
v7_herath_2248_inject,herath,2248,inject,False,"{""lecturer_quality"": ""positive"", ""workload"": ""positive"", ""exam_fairness"": ""positive""}",3
v7_herath_713_faithful,herath,713,faithful,True,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive""}",2
v7_herath_713_flip,herath,713,flip,False,"{""overall_experience"": ""negative"", ""lecturer_quality"": ""negative""}",2
v7_herath_713_inject,herath,713,inject,False,"{""overall_experience"": ""positive"", ""lecturer_quality"": ""positive"", ""grading_transparency"": ""positive""}",3
v7_herath_732_faithful,herath,732,faithful,True,"{""lecturer_quality"": ""negative""}",1
v7_herath_732_flip,herath,732,flip,False,"{""lecturer_quality"": ""positive""}",1
v7_herath_732_inject,herath,732,inject,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""positive""}",2
v7_herath_1462_faithful,herath,1462,faithful,True,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative""}",2
v7_herath_1462_flip,herath,1462,flip,False,"{""lecturer_quality"": ""positive"", ""exam_fairness"": ""positive""}",2
v7_herath_1462_inject,herath,1462,inject,False,"{""lecturer_quality"": ""negative"", ""exam_fairness"": ""negative"", ""grading_transparency"": ""negative""}",3
v7_herath_576_faithful,herath,576,faithful,True,"{""lecturer_quality"": ""negative""}",1
v7_herath_576_flip,herath,576,flip,False,"{""lecturer_quality"": ""positive""}",1
v7_herath_576_inject,herath,576,inject,False,"{""lecturer_quality"": ""negative"", ""assessment_design"": ""positive""}",2
v7_herath_705_faithful,herath,705,faithful,True,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive""}",2
v7_herath_705_flip,herath,705,flip,False,"{""lecturer_quality"": ""negative"", ""overall_experience"": ""negative""}",2
v7_herath_705_inject,herath,705,inject,False,"{""lecturer_quality"": ""positive"", ""overall_experience"": ""positive"", ""exam_fairness"": ""positive""}",3
v7_herath_690_faithful,herath,690,faithful,True,"{""lecturer_quality"": ""positive""}",1
v7_herath_690_flip,herath,690,flip,False,"{""lecturer_quality"": ""negative""}",1
v7_herath_690_inject,herath,690,inject,False,"{""lecturer_quality"": ""positive"", ""organization"": ""negative""}",2
