approach,gold_missed,wrong_predicted,count,wrong_is_broad_label
openai-gpt-5.2-few-shot,lecturer_quality,peer_interaction,13,False
openai-gpt-5.2-few-shot,accessibility,peer_interaction,13,False
openai-gpt-5.2-few-shot,difficulty,clarity,13,False
openai-gpt-5.2-few-shot,interest,assessment_design,13,False
openai-gpt-5.2-few-shot,peer_interaction,clarity,13,False
openai-gpt-5.2-few-shot,relevance,prerequisite_fit,13,False
openai-gpt-5.2-few-shot,prerequisite_fit,peer_interaction,13,False
openai-gpt-5.2-few-shot,relevance,assessment_design,13,False
openai-gpt-5.2-few-shot,practical_application,grading_transparency,13,False
openai-gpt-5.2-few-shot,pacing,feedback_quality,13,True
openai-gpt-5.2-few-shot,tooling_usability,pacing,13,False
openai-gpt-5.2-few-shot,prerequisite_fit,grading_transparency,12,False
openai-gpt-5.2-few-shot,exam_fairness,grading_transparency,12,False
openai-gpt-5.2-few-shot,practical_application,peer_interaction,12,False
openai-gpt-5.2-few-shot,overall_experience,prerequisite_fit,12,False
openai-gpt-5.2-few-shot,grading_transparency,clarity,12,False
openai-gpt-5.2-few-shot,peer_interaction,assessment_design,12,False
openai-gpt-5.2-few-shot,materials,pacing,12,False
openai-gpt-5.2-few-shot,difficulty,assessment_design,11,False
openai-gpt-5.2-few-shot,clarity,workload,11,False
openai-gpt-5.2-few-shot,feedback_quality,peer_interaction,11,False
openai-gpt-5.2-few-shot,pacing,workload,11,False
openai-gpt-5.2-few-shot,workload,support,11,True
openai-gpt-5.2-few-shot,assessment_design,support,11,True
openai-gpt-5.2-few-shot,clarity,materials,11,False
openai-gpt-5.2-few-shot,practical_application,assessment_design,11,False
openai-gpt-5.2-few-shot,clarity,peer_interaction,10,False
openai-gpt-5.2-few-shot,tooling_usability,grading_transparency,10,False
openai-gpt-5.2-few-shot,support,materials,10,False
openai-gpt-5.2-few-shot,support,workload,10,False
openai-gpt-5.2-few-shot,assessment_design,clarity,10,False
openai-gpt-5.2-few-shot,organization,clarity,10,False
openai-gpt-5.2-few-shot,grading_transparency,support,10,True
openai-gpt-5.2-few-shot,prerequisite_fit,materials,10,False
openai-gpt-5.2-few-shot,tooling_usability,support,10,True
openai-gpt-5.2-few-shot,accessibility,grading_transparency,9,False
openai-gpt-5.2-few-shot,pacing,tooling_usability,9,True
openai-gpt-5.2-few-shot,assessment_design,materials,9,False
openai-gpt-5.2-few-shot,feedback_quality,grading_transparency,9,False
openai-gpt-5.2-few-shot,interest,prerequisite_fit,9,False
openai-gpt-5.2-few-shot,pacing,grading_transparency,9,False
openai-gpt-5.2-few-shot,difficulty,prerequisite_fit,9,False
openai-gpt-5.2-few-shot,workload,grading_transparency,9,False
openai-gpt-5.2-few-shot,feedback_quality,clarity,9,False
openai-gpt-5.2-few-shot,lecturer_quality,materials,9,False
openai-gpt-5.2-few-shot,practical_application,prerequisite_fit,9,False
openai-gpt-5.2-few-shot,overall_experience,lecturer_quality,9,False
openai-gpt-5.2-few-shot,support,lecturer_quality,9,False
openai-gpt-5.2-few-shot,exam_fairness,peer_interaction,9,False
openai-gpt-5.2-few-shot,peer_interaction,materials,9,False
openai-gpt-5.2-few-shot,materials,lecturer_quality,9,False
openai-gpt-5.2-few-shot,peer_interaction,lecturer_quality,9,False
openai-gpt-5.2-few-shot,difficulty,lecturer_quality,8,False
openai-gpt-5.2-few-shot,pacing,clarity,8,False
openai-gpt-5.2-few-shot,pacing,peer_interaction,8,False
openai-gpt-5.2-few-shot,practical_application,materials,8,False
openai-gpt-5.2-few-shot,workload,clarity,8,False
openai-gpt-5.2-few-shot,organization,peer_interaction,8,False
openai-gpt-5.2-few-shot,accessibility,prerequisite_fit,8,False
openai-gpt-5.2-few-shot,interest,materials,8,False
openai-gpt-5.2-few-shot,difficulty,materials,8,False
openai-gpt-5.2-few-shot,organization,prerequisite_fit,8,False
openai-gpt-5.2-few-shot,clarity,assessment_design,8,False
openai-gpt-5.2-few-shot,practical_application,clarity,8,False
openai-gpt-5.2-few-shot,difficulty,peer_interaction,8,False
openai-gpt-5.2-few-shot,accessibility,assessment_design,8,False
openai-gpt-5.2-few-shot,tooling_usability,clarity,8,False
openai-gpt-5.2-few-shot,support,prerequisite_fit,7,False
openai-gpt-5.2-few-shot,accessibility,materials,7,False
openai-gpt-5.2-few-shot,grading_transparency,prerequisite_fit,7,False
openai-gpt-5.2-few-shot,workload,peer_interaction,7,False
openai-gpt-5.2-few-shot,workload,assessment_design,7,False
openai-gpt-5.2-few-shot,assessment_design,prerequisite_fit,7,False
openai-gpt-5.2-few-shot,lecturer_quality,assessment_design,7,False
openai-gpt-5.2-few-shot,grading_transparency,materials,7,False
openai-gpt-5.2-few-shot,tooling_usability,assessment_design,7,False
openai-gpt-5.2-few-shot,organization,materials,7,False
openai-gpt-5.2-few-shot,exam_fairness,materials,7,False
openai-gpt-5.2-few-shot,tooling_usability,materials,7,False
openai-gpt-5.2-few-shot,workload,prerequisite_fit,6,False
openai-gpt-5.2-few-shot,grading_transparency,assessment_design,6,False
openai-gpt-5.2-few-shot,support,assessment_design,6,False
openai-gpt-5.2-few-shot,relevance,lecturer_quality,6,False
openai-gpt-5.2-few-shot,materials,assessment_design,6,False
openai-gpt-5.2-few-shot,materials,prerequisite_fit,6,False
openai-gpt-5.2-few-shot,tooling_usability,peer_interaction,6,False
openai-gpt-5.2-few-shot,overall_experience,organization,6,False
openai-gpt-5.2-few-shot,tooling_usability,lecturer_quality,6,False
openai-gpt-5.2-few-shot,prerequisite_fit,lecturer_quality,6,False
openai-gpt-5.2-few-shot,clarity,prerequisite_fit,5,False
openai-gpt-5.2-few-shot,organization,lecturer_quality,5,False
openai-gpt-5.2-few-shot,organization,assessment_design,5,False
openai-gpt-5.2-few-shot,pacing,prerequisite_fit,5,False
openai-gpt-5.2-few-shot,feedback_quality,assessment_design,5,False
openai-gpt-5.2-few-shot,pacing,assessment_design,5,False
openai-gpt-5.2-few-shot,peer_interaction,practical_application,5,False
openai-gpt-5.2-few-shot,pacing,support,5,True
openai-gpt-5.2-few-shot,practical_application,organization,5,False
openai-gpt-5.2-few-shot,exam_fairness,assessment_design,5,False
openai-gpt-5.2-few-shot,assessment_design,lecturer_quality,5,False
openai-gpt-5.2-few-shot,interest,lecturer_quality,5,False
openai-gpt-5.2-few-shot,feedback_quality,materials,4,False
openai-gpt-5.2-few-shot,feedback_quality,prerequisite_fit,4,False
openai-gpt-5.2-few-shot,accessibility,practical_application,4,False
openai-gpt-5.2-few-shot,exam_fairness,prerequisite_fit,4,False
openai-gpt-5.2-few-shot,workload,materials,4,False
openai-gpt-5.2-few-shot,practical_application,lecturer_quality,4,False
openai-gpt-5.2-few-shot,clarity,lecturer_quality,4,False
openai-gpt-5.2-few-shot,prerequisite_fit,assessment_design,4,False
openai-gpt-5.2-few-shot,materials,peer_interaction,4,False
openai-gpt-5.2-few-shot,workload,lecturer_quality,4,False
openai-gpt-5.2-few-shot,accessibility,exam_fairness,3,False
openai-gpt-5.2-few-shot,pacing,materials,3,False
openai-gpt-5.2-few-shot,overall_experience,relevance,3,False
openai-gpt-5.2-few-shot,peer_interaction,relevance,3,False
openai-gpt-5.2-few-shot,lecturer_quality,relevance,3,False
openai-gpt-5.2-few-shot,grading_transparency,organization,3,False
openai-gpt-5.2-few-shot,exam_fairness,lecturer_quality,3,False
openai-gpt-5.2-few-shot,materials,organization,3,False
openai-gpt-5.2-few-shot,relevance,practical_application,3,False
openai-gpt-5.2-few-shot,support,exam_fairness,2,False
openai-gpt-5.2-few-shot,accessibility,interest,2,True
openai-gpt-5.2-few-shot,support,overall_experience,2,True
openai-gpt-5.2-few-shot,materials,relevance,2,False
openai-gpt-5.2-few-shot,exam_fairness,practical_application,2,False
openai-gpt-5.2-few-shot,feedback_quality,lecturer_quality,2,False
openai-gpt-5.2-few-shot,tooling_usability,workload,2,False
openai-gpt-5.2-few-shot,support,practical_application,2,False
openai-gpt-5.2-few-shot,interest,practical_application,2,False
openai-gpt-5.2-few-shot,pacing,organization,2,False
openai-gpt-5.2-few-shot,clarity,relevance,2,False
openai-gpt-5.2-few-shot,clarity,exam_fairness,2,False
openai-gpt-5.2-few-shot,assessment_design,overall_experience,2,True
openai-gpt-5.2-few-shot,practical_application,relevance,2,False
openai-gpt-5.2-few-shot,organization,relevance,2,False
openai-gpt-5.2-few-shot,grading_transparency,exam_fairness,2,False
openai-gpt-5.2-few-shot,accessibility,overall_experience,2,True
openai-gpt-5.2-few-shot,lecturer_quality,prerequisite_fit,2,False
openai-gpt-5.2-few-shot,assessment_design,interest,2,True
openai-gpt-5.2-few-shot,difficulty,interest,2,True
openai-gpt-5.2-few-shot,clarity,organization,2,False
openai-gpt-5.2-few-shot,assessment_design,organization,2,False
openai-gpt-5.2-few-shot,interest,overall_experience,2,True
openai-gpt-5.2-few-shot,peer_interaction,prerequisite_fit,2,False
openai-gpt-5.2-few-shot,tooling_usability,organization,2,False
openai-gpt-5.2-few-shot,lecturer_quality,organization,2,False
openai-gpt-5.2-few-shot,accessibility,organization,2,False
openai-gpt-5.2-few-shot,overall_experience,practical_application,2,False
openai-gpt-5.2-few-shot,lecturer_quality,practical_application,2,False
openai-gpt-5.2-few-shot,pacing,lecturer_quality,2,False
openai-gpt-5.2-few-shot,relevance,organization,2,False
openai-gpt-5.2-few-shot,materials,practical_application,2,False
openai-gpt-5.2-few-shot,organization,practical_application,2,False
openai-gpt-5.2-few-shot,interest,exam_fairness,2,False
openai-gpt-5.2-few-shot,exam_fairness,organization,2,False
openai-gpt-5.2-few-shot,assessment_design,relevance,2,False
openai-gpt-5.2-few-shot,accessibility,lecturer_quality,2,False
openai-gpt-5.2-few-shot,tooling_usability,overall_experience,2,True
openai-gpt-5.2-few-shot,tooling_usability,prerequisite_fit,2,False
openai-gpt-5.2-few-shot,peer_interaction,exam_fairness,1,False
openai-gpt-5.2-few-shot,difficulty,organization,1,False
openai-gpt-5.2-few-shot,workload,organization,1,False
openai-gpt-5.2-few-shot,prerequisite_fit,organization,1,False
openai-gpt-5.2-few-shot,tooling_usability,relevance,1,False
openai-gpt-5.2-few-shot,accessibility,relevance,1,False
openai-gpt-5.2-few-shot,exam_fairness,relevance,1,False
openai-gpt-5.2-few-shot,interest,organization,1,False
openai-gpt-5.2-few-shot,overall_experience,difficulty,1,False
openai-gpt-5.2-few-shot,assessment_design,difficulty,1,False
openai-gpt-5.2-few-shot,grading_transparency,practical_application,1,False
openai-gpt-5.2-few-shot,feedback_quality,exam_fairness,1,False
openai-gpt-5.2-few-shot,overall_experience,exam_fairness,1,False
openai-gpt-5.2-few-shot,prerequisite_fit,relevance,1,False
openai-gpt-5.2-few-shot,prerequisite_fit,accessibility,1,False
openai-gpt-5.2-few-shot,exam_fairness,difficulty,1,False
openai-gpt-5.2-few-shot,feedback_quality,difficulty,1,False
openai-gpt-5.2-few-shot,peer_interaction,interest,1,True
openai-gpt-5.2-few-shot,assessment_design,practical_application,1,False
openai-gpt-5.2-few-shot,difficulty,practical_application,1,False
openai-gpt-5.2-few-shot,exam_fairness,overall_experience,1,True
openai-gpt-5.2-few-shot,support,organization,1,False
openai-gpt-5.2-few-shot,lecturer_quality,overall_experience,1,True
openai-gpt-5.2-few-shot,prerequisite_fit,exam_fairness,1,False
openai-gpt-5.2-few-shot,practical_application,exam_fairness,1,False
openai-gpt-5.2-few-shot,relevance,exam_fairness,1,False
openai-gpt-5.2-few-shot,feedback_quality,practical_application,1,False
openai-gpt-5.2-few-shot,pacing,practical_application,1,False
openai-gpt-5.2-few-shot,feedback_quality,organization,1,False
openai-gpt-5.2-few-shot,tooling_usability,accessibility,1,False
openai-gpt-5.2-few-shot,difficulty,relevance,1,False
openai-gpt-5.2-few-shot,organization,overall_experience,1,True
openai-gpt-5.2-few-shot,interest,relevance,1,False
openai-gpt-5.2-few-shot,lecturer_quality,difficulty,1,False
openai-gpt-5.2-few-shot,lecturer_quality,interest,1,True
openai-gpt-5.2-few-shot,exam_fairness,interest,1,True
openai-gpt-5.2-few-shot,peer_interaction,organization,1,False
openai-gpt-5.2-few-shot,tooling_usability,practical_application,1,False
openai-gpt-5.2-few-shot-diverse,difficulty,tooling_usability,47,True
openai-gpt-5.2-few-shot-diverse,overall_experience,tooling_usability,46,True
openai-gpt-5.2-few-shot-diverse,relevance,tooling_usability,45,True
openai-gpt-5.2-few-shot-diverse,peer_interaction,tooling_usability,43,True
openai-gpt-5.2-few-shot-diverse,accessibility,tooling_usability,41,True
openai-gpt-5.2-few-shot-diverse,overall_experience,feedback_quality,41,True
openai-gpt-5.2-few-shot-diverse,lecturer_quality,tooling_usability,40,True
openai-gpt-5.2-few-shot-diverse,relevance,feedback_quality,39,True
openai-gpt-5.2-few-shot-diverse,materials,tooling_usability,39,True
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,feedback_quality,36,True
openai-gpt-5.2-few-shot-diverse,overall_experience,support,35,True
openai-gpt-5.2-few-shot-diverse,practical_application,tooling_usability,35,True
openai-gpt-5.2-few-shot-diverse,difficulty,feedback_quality,35,True
openai-gpt-5.2-few-shot-diverse,lecturer_quality,feedback_quality,34,True
openai-gpt-5.2-few-shot-diverse,accessibility,feedback_quality,34,True
openai-gpt-5.2-few-shot-diverse,peer_interaction,support,34,True
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,tooling_usability,33,True
openai-gpt-5.2-few-shot-diverse,interest,feedback_quality,33,True
openai-gpt-5.2-few-shot-diverse,interest,support,32,True
openai-gpt-5.2-few-shot-diverse,organization,tooling_usability,32,True
openai-gpt-5.2-few-shot-diverse,exam_fairness,feedback_quality,32,True
openai-gpt-5.2-few-shot-diverse,support,feedback_quality,31,True
openai-gpt-5.2-few-shot-diverse,assessment_design,feedback_quality,31,True
openai-gpt-5.2-few-shot-diverse,organization,support,30,True
openai-gpt-5.2-few-shot-diverse,interest,tooling_usability,29,True
openai-gpt-5.2-few-shot-diverse,materials,feedback_quality,29,True
openai-gpt-5.2-few-shot-diverse,relevance,workload,28,False
openai-gpt-5.2-few-shot-diverse,accessibility,support,28,True
openai-gpt-5.2-few-shot-diverse,clarity,tooling_usability,28,True
openai-gpt-5.2-few-shot-diverse,organization,feedback_quality,28,True
openai-gpt-5.2-few-shot-diverse,overall_experience,pacing,28,False
openai-gpt-5.2-few-shot-diverse,workload,tooling_usability,27,True
openai-gpt-5.2-few-shot-diverse,practical_application,feedback_quality,27,True
openai-gpt-5.2-few-shot-diverse,relevance,support,26,True
openai-gpt-5.2-few-shot-diverse,support,tooling_usability,26,True
openai-gpt-5.2-few-shot-diverse,lecturer_quality,support,26,True
openai-gpt-5.2-few-shot-diverse,difficulty,support,26,True
openai-gpt-5.2-few-shot-diverse,assessment_design,tooling_usability,26,True
openai-gpt-5.2-few-shot-diverse,practical_application,support,26,True
openai-gpt-5.2-few-shot-diverse,relevance,pacing,25,False
openai-gpt-5.2-few-shot-diverse,clarity,feedback_quality,25,True
openai-gpt-5.2-few-shot-diverse,exam_fairness,tooling_usability,24,True
openai-gpt-5.2-few-shot-diverse,overall_experience,workload,24,False
openai-gpt-5.2-few-shot-diverse,clarity,support,24,True
openai-gpt-5.2-few-shot-diverse,overall_experience,grading_transparency,24,False
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,pacing,24,False
openai-gpt-5.2-few-shot-diverse,relevance,clarity,24,False
openai-gpt-5.2-few-shot-diverse,feedback_quality,tooling_usability,23,True
openai-gpt-5.2-few-shot-diverse,organization,pacing,23,False
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,support,22,True
openai-gpt-5.2-few-shot-diverse,workload,feedback_quality,22,True
openai-gpt-5.2-few-shot-diverse,practical_application,workload,21,False
openai-gpt-5.2-few-shot-diverse,interest,workload,21,False
openai-gpt-5.2-few-shot-diverse,interest,clarity,21,False
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,workload,21,False
openai-gpt-5.2-few-shot-diverse,grading_transparency,feedback_quality,21,True
openai-gpt-5.2-few-shot-diverse,interest,pacing,21,False
openai-gpt-5.2-few-shot-diverse,difficulty,grading_transparency,21,False
openai-gpt-5.2-few-shot-diverse,peer_interaction,feedback_quality,21,True
openai-gpt-5.2-few-shot-diverse,assessment_design,support,20,True
openai-gpt-5.2-few-shot-diverse,assessment_design,workload,20,False
openai-gpt-5.2-few-shot-diverse,relevance,grading_transparency,20,False
openai-gpt-5.2-few-shot-diverse,grading_transparency,support,20,True
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,clarity,19,False
openai-gpt-5.2-few-shot-diverse,organization,clarity,19,False
openai-gpt-5.2-few-shot-diverse,workload,pacing,19,False
openai-gpt-5.2-few-shot-diverse,materials,support,19,True
openai-gpt-5.2-few-shot-diverse,grading_transparency,tooling_usability,19,True
openai-gpt-5.2-few-shot-diverse,exam_fairness,support,19,True
openai-gpt-5.2-few-shot-diverse,tooling_usability,feedback_quality,19,True
openai-gpt-5.2-few-shot-diverse,difficulty,clarity,18,False
openai-gpt-5.2-few-shot-diverse,feedback_quality,support,18,True
openai-gpt-5.2-few-shot-diverse,lecturer_quality,clarity,18,False
openai-gpt-5.2-few-shot-diverse,lecturer_quality,workload,18,False
openai-gpt-5.2-few-shot-diverse,accessibility,workload,18,False
openai-gpt-5.2-few-shot-diverse,materials,workload,18,False
openai-gpt-5.2-few-shot-diverse,practical_application,pacing,18,False
openai-gpt-5.2-few-shot-diverse,pacing,feedback_quality,17,True
openai-gpt-5.2-few-shot-diverse,organization,grading_transparency,17,False
openai-gpt-5.2-few-shot-diverse,overall_experience,clarity,17,False
openai-gpt-5.2-few-shot-diverse,materials,grading_transparency,17,False
openai-gpt-5.2-few-shot-diverse,peer_interaction,workload,17,False
openai-gpt-5.2-few-shot-diverse,difficulty,pacing,17,False
openai-gpt-5.2-few-shot-diverse,accessibility,clarity,16,False
openai-gpt-5.2-few-shot-diverse,exam_fairness,clarity,16,False
openai-gpt-5.2-few-shot-diverse,lecturer_quality,pacing,16,False
openai-gpt-5.2-few-shot-diverse,support,clarity,16,False
openai-gpt-5.2-few-shot-diverse,accessibility,peer_interaction,16,False
openai-gpt-5.2-few-shot-diverse,assessment_design,grading_transparency,16,False
openai-gpt-5.2-few-shot-diverse,difficulty,workload,16,False
openai-gpt-5.2-few-shot-diverse,peer_interaction,grading_transparency,16,False
openai-gpt-5.2-few-shot-diverse,pacing,tooling_usability,15,True
openai-gpt-5.2-few-shot-diverse,overall_experience,prerequisite_fit,15,False
openai-gpt-5.2-few-shot-diverse,materials,clarity,15,False
openai-gpt-5.2-few-shot-diverse,organization,workload,15,False
openai-gpt-5.2-few-shot-diverse,interest,peer_interaction,15,False
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,peer_interaction,15,False
openai-gpt-5.2-few-shot-diverse,exam_fairness,grading_transparency,14,False
openai-gpt-5.2-few-shot-diverse,overall_experience,materials,14,False
openai-gpt-5.2-few-shot-diverse,overall_experience,peer_interaction,14,False
openai-gpt-5.2-few-shot-diverse,clarity,grading_transparency,14,False
openai-gpt-5.2-few-shot-diverse,support,grading_transparency,14,False
openai-gpt-5.2-few-shot-diverse,grading_transparency,clarity,14,False
openai-gpt-5.2-few-shot-diverse,assessment_design,clarity,14,False
openai-gpt-5.2-few-shot-diverse,pacing,workload,14,False
openai-gpt-5.2-few-shot-diverse,exam_fairness,workload,14,False
openai-gpt-5.2-few-shot-diverse,accessibility,pacing,14,False
openai-gpt-5.2-few-shot-diverse,interest,grading_transparency,14,False
openai-gpt-5.2-few-shot-diverse,grading_transparency,pacing,14,False
openai-gpt-5.2-few-shot-diverse,feedback_quality,workload,13,False
openai-gpt-5.2-few-shot-diverse,peer_interaction,pacing,13,False
openai-gpt-5.2-few-shot-diverse,workload,support,13,True
openai-gpt-5.2-few-shot-diverse,peer_interaction,clarity,13,False
openai-gpt-5.2-few-shot-diverse,relevance,prerequisite_fit,13,False
openai-gpt-5.2-few-shot-diverse,lecturer_quality,grading_transparency,13,False
openai-gpt-5.2-few-shot-diverse,practical_application,grading_transparency,13,False
openai-gpt-5.2-few-shot-diverse,grading_transparency,workload,13,False
openai-gpt-5.2-few-shot-diverse,exam_fairness,pacing,13,False
openai-gpt-5.2-few-shot-diverse,clarity,pacing,12,False
openai-gpt-5.2-few-shot-diverse,lecturer_quality,assessment_design,12,False
openai-gpt-5.2-few-shot-diverse,difficulty,prerequisite_fit,12,False
openai-gpt-5.2-few-shot-diverse,overall_experience,lecturer_quality,12,False
openai-gpt-5.2-few-shot-diverse,relevance,peer_interaction,12,False
openai-gpt-5.2-few-shot-diverse,assessment_design,pacing,12,False
openai-gpt-5.2-few-shot-diverse,clarity,workload,12,False
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,grading_transparency,11,False
openai-gpt-5.2-few-shot-diverse,assessment_design,peer_interaction,11,False
openai-gpt-5.2-few-shot-diverse,practical_application,peer_interaction,11,False
openai-gpt-5.2-few-shot-diverse,pacing,grading_transparency,11,False
openai-gpt-5.2-few-shot-diverse,interest,assessment_design,11,False
