approach,gold_missed,broad_wrong_predicted,count
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,feedback_quality,36
openai-gpt-5.2-few-shot-diverse,overall_experience,support,35
openai-gpt-5.2-few-shot-diverse,practical_application,tooling_usability,35
openai-gpt-5.2-few-shot-diverse,difficulty,feedback_quality,35
openai-gpt-5.2-few-shot-diverse,lecturer_quality,feedback_quality,34
openai-gpt-5.2-few-shot-diverse,accessibility,feedback_quality,34
openai-gpt-5.2-few-shot-diverse,peer_interaction,support,34
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,tooling_usability,33
openai-gpt-5.2-few-shot-diverse,interest,feedback_quality,33
openai-gpt-5.2-few-shot-diverse,interest,support,32
openai-gpt-5.2-few-shot-diverse,organization,tooling_usability,32
openai-gpt-5.2-few-shot-diverse,exam_fairness,feedback_quality,32
openai-gpt-5.2-few-shot-diverse,support,feedback_quality,31
openai-gpt-5.2-few-shot-diverse,assessment_design,feedback_quality,31
openai-gpt-5.2-few-shot-diverse,organization,support,30
openai-gpt-5.2-few-shot-diverse,interest,tooling_usability,29
openai-gpt-5.2-few-shot-diverse,materials,feedback_quality,29
openai-gpt-5.2-few-shot-diverse,accessibility,support,28
openai-gpt-5.2-few-shot-diverse,clarity,tooling_usability,28
openai-gpt-5.2-few-shot-diverse,organization,feedback_quality,28
openai-gpt-5.2-few-shot-diverse,workload,tooling_usability,27
openai-gpt-5.2-few-shot-diverse,practical_application,feedback_quality,27
openai-gpt-5.2-few-shot-diverse,relevance,support,26
openai-gpt-5.2-few-shot-diverse,support,tooling_usability,26
openai-gpt-5.2-few-shot-diverse,lecturer_quality,support,26
openai-gpt-5.2-few-shot-diverse,difficulty,support,26
openai-gpt-5.2-few-shot-diverse,assessment_design,tooling_usability,26
openai-gpt-5.2-few-shot-diverse,practical_application,support,26
openai-gpt-5.2-few-shot-diverse,clarity,feedback_quality,25
openai-gpt-5.2-few-shot-diverse,exam_fairness,tooling_usability,24
openai-gpt-5.2-few-shot-diverse,clarity,support,24
openai-gpt-5.2-few-shot-diverse,feedback_quality,tooling_usability,23
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,support,22
openai-gpt-5.2-few-shot-diverse,workload,feedback_quality,22
openai-gpt-5.2-few-shot-diverse,grading_transparency,feedback_quality,21
openai-gpt-5.2-few-shot-diverse,peer_interaction,feedback_quality,21
openai-gpt-5.2-few-shot-diverse,assessment_design,support,20
openai-gpt-5.2-few-shot-diverse,grading_transparency,support,20
openai-gpt-5.2-few-shot-diverse,materials,support,19
openai-gpt-5.2-few-shot-diverse,grading_transparency,tooling_usability,19
openai-gpt-5.2-few-shot-diverse,exam_fairness,support,19
openai-gpt-5.2-few-shot-diverse,tooling_usability,feedback_quality,19
openai-gpt-5.2-few-shot-diverse,feedback_quality,support,18
openai-gpt-5.2-few-shot-diverse,pacing,feedback_quality,17
openai-gpt-5.2-few-shot-diverse,pacing,tooling_usability,15
openai-gpt-5.2-few-shot-diverse,workload,support,13
openai-gpt-5.2-few-shot-diverse,tooling_usability,support,11
openai-gpt-5.2-few-shot-diverse,pacing,support,8
openai-gpt-5.2-few-shot-diverse,assessment_design,overall_experience,4
openai-gpt-5.2-few-shot-diverse,lecturer_quality,overall_experience,3
openai-gpt-5.2-few-shot-diverse,overall_experience,interest,3
openai-gpt-5.2-few-shot-diverse,accessibility,overall_experience,3
openai-gpt-5.2-few-shot-diverse,peer_interaction,interest,3
openai-gpt-5.2-few-shot-diverse,difficulty,interest,3
openai-gpt-5.2-few-shot-diverse,lecturer_quality,interest,3
openai-gpt-5.2-few-shot-diverse,interest,overall_experience,2
openai-gpt-5.2-few-shot-diverse,relevance,interest,2
openai-gpt-5.2-few-shot-diverse,practical_application,interest,2
openai-gpt-5.2-few-shot-diverse,pacing,overall_experience,2
openai-gpt-5.2-few-shot-diverse,prerequisite_fit,overall_experience,2
openai-gpt-5.2-few-shot-diverse,organization,overall_experience,2
openai-gpt-5.2-few-shot-diverse,assessment_design,interest,2
openai-gpt-5.2-few-shot-diverse,accessibility,interest,1
openai-gpt-5.2-few-shot-diverse,difficulty,overall_experience,1
openai-gpt-5.2-few-shot-diverse,materials,overall_experience,1
openai-gpt-5.2-few-shot-diverse,relevance,overall_experience,1
openai-gpt-5.2-few-shot-diverse,practical_application,overall_experience,1
openai-gpt-5.2-few-shot-diverse,support,overall_experience,1
openai-gpt-5.2-few-shot-diverse,organization,interest,1
openai-gpt-5.2-few-shot-diverse,tooling_usability,interest,1
openai-gpt-5.2-few-shot-diverse,tooling_usability,overall_experience,1
openai-gpt-5.2-few-shot-diverse,support,interest,1
openai-gpt-5.2-few-shot-diverse,exam_fairness,interest,1
openai-gpt-5.2-retrieval-few-shot,difficulty,tooling_usability,47
openai-gpt-5.2-retrieval-few-shot,overall_experience,tooling_usability,46
openai-gpt-5.2-retrieval-few-shot,materials,tooling_usability,44
openai-gpt-5.2-retrieval-few-shot,overall_experience,feedback_quality,41
openai-gpt-5.2-retrieval-few-shot,accessibility,tooling_usability,40
openai-gpt-5.2-retrieval-few-shot,peer_interaction,tooling_usability,40
openai-gpt-5.2-retrieval-few-shot,relevance,tooling_usability,39
openai-gpt-5.2-retrieval-few-shot,relevance,feedback_quality,39
openai-gpt-5.2-retrieval-few-shot,practical_application,tooling_usability,39
openai-gpt-5.2-retrieval-few-shot,accessibility,feedback_quality,36
openai-gpt-5.2-retrieval-few-shot,prerequisite_fit,feedback_quality,36
openai-gpt-5.2-retrieval-few-shot,difficulty,feedback_quality,36
openai-gpt-5.2-retrieval-few-shot,lecturer_quality,tooling_usability,35
openai-gpt-5.2-retrieval-few-shot,lecturer_quality,feedback_quality,34
openai-gpt-5.2-retrieval-few-shot,interest,feedback_quality,33
openai-gpt-5.2-retrieval-few-shot,assessment_design,feedback_quality,33
openai-gpt-5.2-retrieval-few-shot,prerequisite_fit,tooling_usability,32
openai-gpt-5.2-retrieval-few-shot,interest,support,32
openai-gpt-5.2-retrieval-few-shot,support,feedback_quality,32
openai-gpt-5.2-retrieval-few-shot,organization,tooling_usability,31
openai-gpt-5.2-retrieval-few-shot,overall_experience,support,30
openai-gpt-5.2-retrieval-few-shot,clarity,tooling_usability,30
openai-gpt-5.2-retrieval-few-shot,support,tooling_usability,30
openai-gpt-5.2-retrieval-few-shot,interest,tooling_usability,30
openai-gpt-5.2-retrieval-few-shot,clarity,feedback_quality,30
openai-gpt-5.2-retrieval-few-shot,practical_application,feedback_quality,29
openai-gpt-5.2-retrieval-few-shot,exam_fairness,feedback_quality,28
openai-gpt-5.2-retrieval-few-shot,relevance,support,27
openai-gpt-5.2-retrieval-few-shot,organization,feedback_quality,26
openai-gpt-5.2-retrieval-few-shot,workload,tooling_usability,26
openai-gpt-5.2-retrieval-few-shot,peer_interaction,support,26
openai-gpt-5.2-retrieval-few-shot,grading_transparency,feedback_quality,25
openai-gpt-5.2-retrieval-few-shot,assessment_design,tooling_usability,25
openai-gpt-5.2-retrieval-few-shot,accessibility,support,24
openai-gpt-5.2-retrieval-few-shot,materials,feedback_quality,24
openai-gpt-5.2-retrieval-few-shot,difficulty,support,24
openai-gpt-5.2-retrieval-few-shot,practical_application,support,24
openai-gpt-5.2-retrieval-few-shot,exam_fairness,tooling_usability,23
openai-gpt-5.2-retrieval-few-shot,clarity,support,23
openai-gpt-5.2-retrieval-few-shot,feedback_quality,tooling_usability,23
openai-gpt-5.2-retrieval-few-shot,organization,support,23
openai-gpt-5.2-retrieval-few-shot,materials,support,23
openai-gpt-5.2-retrieval-few-shot,grading_transparency,tooling_usability,22
openai-gpt-5.2-retrieval-few-shot,feedback_quality,support,20
openai-gpt-5.2-retrieval-few-shot,lecturer_quality,support,19
openai-gpt-5.2-retrieval-few-shot,assessment_design,support,18
openai-gpt-5.2-retrieval-few-shot,tooling_usability,feedback_quality,18
openai-gpt-5.2-retrieval-few-shot,prerequisite_fit,support,18
openai-gpt-5.2-retrieval-few-shot,peer_interaction,feedback_quality,18
openai-gpt-5.2-retrieval-few-shot,workload,feedback_quality,17
openai-gpt-5.2-retrieval-few-shot,grading_transparency,support,15
openai-gpt-5.2-retrieval-few-shot,pacing,feedback_quality,13
openai-gpt-5.2-retrieval-few-shot,pacing,tooling_usability,12
openai-gpt-5.2-retrieval-few-shot,tooling_usability,support,11
openai-gpt-5.2-retrieval-few-shot,exam_fairness,support,11
openai-gpt-5.2-retrieval-few-shot,pacing,support,11
openai-gpt-5.2-retrieval-few-shot,workload,support,7
openai-gpt-5.2-retrieval-few-shot,peer_interaction,interest,3
openai-gpt-5.2-retrieval-few-shot,materials,overall_experience,3
openai-gpt-5.2-retrieval-few-shot,support,overall_experience,2
openai-gpt-5.2-retrieval-few-shot,accessibility,overall_experience,2
openai-gpt-5.2-retrieval-few-shot,exam_fairness,interest,2
openai-gpt-5.2-retrieval-few-shot,assessment_design,interest,2
openai-gpt-5.2-retrieval-few-shot,relevance,overall_experience,2
openai-gpt-5.2-retrieval-few-shot,difficulty,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,feedback_quality,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,overall_experience,interest,1
openai-gpt-5.2-retrieval-few-shot,peer_interaction,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,accessibility,interest,1
openai-gpt-5.2-retrieval-few-shot,organization,interest,1
openai-gpt-5.2-retrieval-few-shot,difficulty,interest,1
openai-gpt-5.2-retrieval-few-shot,interest,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,practical_application,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,prerequisite_fit,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,tooling_usability,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,assessment_design,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,organization,overall_experience,1
openai-gpt-5.2-retrieval-few-shot,lecturer_quality,interest,1
openai-gpt-5.2-zero-shot,overall_experience,tooling_usability,45
openai-gpt-5.2-zero-shot,overall_experience,feedback_quality,42
openai-gpt-5.2-zero-shot,difficulty,tooling_usability,41
openai-gpt-5.2-zero-shot,relevance,tooling_usability,41
openai-gpt-5.2-zero-shot,accessibility,tooling_usability,39
openai-gpt-5.2-zero-shot,materials,tooling_usability,39
openai-gpt-5.2-zero-shot,peer_interaction,tooling_usability,36
openai-gpt-5.2-zero-shot,relevance,feedback_quality,34
openai-gpt-5.2-zero-shot,support,feedback_quality,33
openai-gpt-5.2-zero-shot,prerequisite_fit,feedback_quality,33
openai-gpt-5.2-zero-shot,difficulty,feedback_quality,32
openai-gpt-5.2-zero-shot,practical_application,tooling_usability,31
openai-gpt-5.2-zero-shot,lecturer_quality,feedback_quality,30
openai-gpt-5.2-zero-shot,assessment_design,feedback_quality,30
openai-gpt-5.2-zero-shot,prerequisite_fit,tooling_usability,29
openai-gpt-5.2-zero-shot,interest,feedback_quality,29
openai-gpt-5.2-zero-shot,interest,tooling_usability,29
openai-gpt-5.2-zero-shot,lecturer_quality,tooling_usability,29
openai-gpt-5.2-zero-shot,interest,support,28
openai-gpt-5.2-zero-shot,accessibility,feedback_quality,28
openai-gpt-5.2-zero-shot,organization,feedback_quality,27
openai-gpt-5.2-zero-shot,exam_fairness,feedback_quality,27
openai-gpt-5.2-zero-shot,practical_application,feedback_quality,26
openai-gpt-5.2-zero-shot,support,tooling_usability,25
openai-gpt-5.2-zero-shot,exam_fairness,tooling_usability,24
openai-gpt-5.2-zero-shot,organization,tooling_usability,24
openai-gpt-5.2-zero-shot,materials,feedback_quality,24
openai-gpt-5.2-zero-shot,clarity,feedback_quality,24
openai-gpt-5.2-zero-shot,overall_experience,support,23
openai-gpt-5.2-zero-shot,relevance,support,23
openai-gpt-5.2-zero-shot,feedback_quality,tooling_usability,23
openai-gpt-5.2-zero-shot,clarity,tooling_usability,23
openai-gpt-5.2-zero-shot,workload,tooling_usability,22
openai-gpt-5.2-zero-shot,assessment_design,tooling_usability,22
openai-gpt-5.2-zero-shot,practical_application,support,22
openai-gpt-5.2-zero-shot,grading_transparency,feedback_quality,21
openai-gpt-5.2-zero-shot,peer_interaction,support,21
openai-gpt-5.2-zero-shot,grading_transparency,tooling_usability,21
openai-gpt-5.2-zero-shot,accessibility,support,20
openai-gpt-5.2-zero-shot,organization,support,20
openai-gpt-5.2-zero-shot,lecturer_quality,support,19
openai-gpt-5.2-zero-shot,workload,feedback_quality,19
openai-gpt-5.2-zero-shot,assessment_design,support,18
openai-gpt-5.2-zero-shot,peer_interaction,feedback_quality,18
openai-gpt-5.2-zero-shot,difficulty,support,18
openai-gpt-5.2-zero-shot,prerequisite_fit,support,18
openai-gpt-5.2-zero-shot,feedback_quality,support,17
openai-gpt-5.2-zero-shot,tooling_usability,feedback_quality,17
openai-gpt-5.2-zero-shot,materials,support,16
openai-gpt-5.2-zero-shot,clarity,support,14
openai-gpt-5.2-zero-shot,grading_transparency,support,14
openai-gpt-5.2-zero-shot,pacing,tooling_usability,13
openai-gpt-5.2-zero-shot,pacing,feedback_quality,12
openai-gpt-5.2-zero-shot,exam_fairness,support,12
openai-gpt-5.2-zero-shot,tooling_usability,support,9
openai-gpt-5.2-zero-shot,pacing,support,7
openai-gpt-5.2-zero-shot,workload,support,6
openai-gpt-5.2-zero-shot,interest,overall_experience,5
openai-gpt-5.2-zero-shot,peer_interaction,interest,3
openai-gpt-5.2-zero-shot,difficulty,interest,3
openai-gpt-5.2-zero-shot,prerequisite_fit,overall_experience,2
openai-gpt-5.2-zero-shot,assessment_design,overall_experience,2
openai-gpt-5.2-zero-shot,lecturer_quality,interest,2
openai-gpt-5.2-zero-shot,tooling_usability,overall_experience,2
openai-gpt-5.2-zero-shot,overall_experience,interest,2
openai-gpt-5.2-zero-shot,lecturer_quality,overall_experience,1
openai-gpt-5.2-zero-shot,difficulty,overall_experience,1
openai-gpt-5.2-zero-shot,feedback_quality,overall_experience,1
openai-gpt-5.2-zero-shot,relevance,interest,1
openai-gpt-5.2-zero-shot,accessibility,interest,1
openai-gpt-5.2-zero-shot,assessment_design,interest,1
openai-gpt-5.2-zero-shot,practical_application,overall_experience,1
openai-gpt-5.2-zero-shot,accessibility,overall_experience,1
openai-gpt-5.2-zero-shot,tooling_usability,interest,1
openai-gpt-5.2-zero-shot,support,interest,1
openai-gpt-5.2-zero-shot,organization,overall_experience,1
openai-gpt-5.2-zero-shot,exam_fairness,interest,1
openai-gpt-5.4-zero-shot,overall_experience,tooling_usability,44
openai-gpt-5.4-zero-shot,accessibility,tooling_usability,42
openai-gpt-5.4-zero-shot,overall_experience,feedback_quality,38
openai-gpt-5.4-zero-shot,difficulty,tooling_usability,38
openai-gpt-5.4-zero-shot,peer_interaction,tooling_usability,36
openai-gpt-5.4-zero-shot,relevance,tooling_usability,35
openai-gpt-5.4-zero-shot,materials,tooling_usability,35
openai-gpt-5.4-zero-shot,peer_interaction,support,33
openai-gpt-5.4-zero-shot,prerequisite_fit,feedback_quality,31
openai-gpt-5.4-zero-shot,overall_experience,support,30
openai-gpt-5.4-zero-shot,interest,support,30
openai-gpt-5.4-zero-shot,difficulty,feedback_quality,30
openai-gpt-5.4-zero-shot,lecturer_quality,feedback_quality,29
openai-gpt-5.4-zero-shot,support,feedback_quality,29
openai-gpt-5.4-zero-shot,relevance,feedback_quality,29
openai-gpt-5.4-zero-shot,prerequisite_fit,tooling_usability,28
openai-gpt-5.4-zero-shot,difficulty,support,28
openai-gpt-5.4-zero-shot,materials,feedback_quality,28
openai-gpt-5.4-zero-shot,lecturer_quality,support,28
openai-gpt-5.4-zero-shot,lecturer_quality,tooling_usability,28
openai-gpt-5.4-zero-shot,exam_fairness,feedback_quality,28
openai-gpt-5.4-zero-shot,practical_application,tooling_usability,28
openai-gpt-5.4-zero-shot,assessment_design,feedback_quality,28
openai-gpt-5.4-zero-shot,interest,feedback_quality,27
openai-gpt-5.4-zero-shot,organization,feedback_quality,27
openai-gpt-5.4-zero-shot,accessibility,feedback_quality,26
openai-gpt-5.4-zero-shot,clarity,feedback_quality,26
openai-gpt-5.4-zero-shot,practical_application,support,26
openai-gpt-5.4-zero-shot,organization,tooling_usability,25
openai-gpt-5.4-zero-shot,relevance,support,24
openai-gpt-5.4-zero-shot,accessibility,support,23
openai-gpt-5.4-zero-shot,support,tooling_usability,23
openai-gpt-5.4-zero-shot,interest,tooling_usability,23
openai-gpt-5.4-zero-shot,grading_transparency,feedback_quality,22
openai-gpt-5.4-zero-shot,practical_application,feedback_quality,22
openai-gpt-5.4-zero-shot,feedback_quality,support,21
openai-gpt-5.4-zero-shot,feedback_quality,tooling_usability,21
openai-gpt-5.4-zero-shot,organization,support,21
openai-gpt-5.4-zero-shot,prerequisite_fit,support,21
openai-gpt-5.4-zero-shot,assessment_design,tooling_usability,21
openai-gpt-5.4-zero-shot,clarity,support,20
openai-gpt-5.4-zero-shot,workload,tooling_usability,20
openai-gpt-5.4-zero-shot,clarity,tooling_usability,20
openai-gpt-5.4-zero-shot,exam_fairness,tooling_usability,18
openai-gpt-5.4-zero-shot,workload,feedback_quality,18
openai-gpt-5.4-zero-shot,tooling_usability,feedback_quality,18
openai-gpt-5.4-zero-shot,materials,support,17
openai-gpt-5.4-zero-shot,assessment_design,support,17
openai-gpt-5.4-zero-shot,grading_transparency,support,16
openai-gpt-5.4-zero-shot,exam_fairness,support,16
openai-gpt-5.4-zero-shot,grading_transparency,tooling_usability,15
openai-gpt-5.4-zero-shot,peer_interaction,feedback_quality,14
openai-gpt-5.4-zero-shot,pacing,feedback_quality,13
openai-gpt-5.4-zero-shot,workload,support,13
openai-gpt-5.4-zero-shot,pacing,support,10
openai-gpt-5.4-zero-shot,tooling_usability,support,10
openai-gpt-5.4-zero-shot,pacing,tooling_usability,9
openai-gpt-5.4-zero-shot,peer_interaction,interest,4
openai-gpt-5.4-zero-shot,interest,overall_experience,3
openai-gpt-5.4-zero-shot,lecturer_quality,overall_experience,2
openai-gpt-5.4-zero-shot,overall_experience,interest,2
openai-gpt-5.4-zero-shot,assessment_design,overall_experience,2
openai-gpt-5.4-zero-shot,accessibility,interest,2
openai-gpt-5.4-zero-shot,assessment_design,interest,2
openai-gpt-5.4-zero-shot,difficulty,interest,2
openai-gpt-5.4-zero-shot,practical_application,overall_experience,2
openai-gpt-5.4-zero-shot,relevance,overall_experience,2
openai-gpt-5.4-zero-shot,organization,interest,2
openai-gpt-5.4-zero-shot,materials,overall_experience,2
openai-gpt-5.4-zero-shot,relevance,interest,2
openai-gpt-5.4-zero-shot,exam_fairness,overall_experience,1
openai-gpt-5.4-zero-shot,accessibility,overall_experience,1
openai-gpt-5.4-zero-shot,prerequisite_fit,interest,1
openai-gpt-5.4-zero-shot,pacing,overall_experience,1
openai-gpt-5.4-zero-shot,pacing,interest,1
openai-gpt-5.4-zero-shot,support,overall_experience,1
openai-gpt-5.4-zero-shot,clarity,overall_experience,1
openai-gpt-5.4-zero-shot,clarity,interest,1
openai-gpt-5.4-zero-shot,practical_application,interest,1
openai-gpt-5.4-zero-shot,exam_fairness,interest,1
openai-gpt-5.4-zero-shot-glossary,overall_experience,tooling_usability,44
openai-gpt-5.4-zero-shot-glossary,accessibility,tooling_usability,40
openai-gpt-5.4-zero-shot-glossary,materials,tooling_usability,39
openai-gpt-5.4-zero-shot-glossary,overall_experience,feedback_quality,37
openai-gpt-5.4-zero-shot-glossary,relevance,tooling_usability,36
openai-gpt-5.4-zero-shot-glossary,peer_interaction,tooling_usability,35
openai-gpt-5.4-zero-shot-glossary,difficulty,tooling_usability,34
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,feedback_quality,32
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,feedback_quality,32
openai-gpt-5.4-zero-shot-glossary,practical_application,tooling_usability,32
openai-gpt-5.4-zero-shot-glossary,overall_experience,support,31
openai-gpt-5.4-zero-shot-glossary,interest,support,31
openai-gpt-5.4-zero-shot-glossary,support,feedback_quality,31
openai-gpt-5.4-zero-shot-glossary,peer_interaction,support,31
openai-gpt-5.4-zero-shot-glossary,difficulty,support,28
openai-gpt-5.4-zero-shot-glossary,assessment_design,feedback_quality,28
openai-gpt-5.4-zero-shot-glossary,support,tooling_usability,27
openai-gpt-5.4-zero-shot-glossary,practical_application,support,27
openai-gpt-5.4-zero-shot-glossary,difficulty,feedback_quality,27
openai-gpt-5.4-zero-shot-glossary,accessibility,support,26
openai-gpt-5.4-zero-shot-glossary,interest,tooling_usability,26
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,tooling_usability,26
openai-gpt-5.4-zero-shot-glossary,relevance,feedback_quality,26
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,tooling_usability,25
openai-gpt-5.4-zero-shot-glossary,interest,feedback_quality,25
openai-gpt-5.4-zero-shot-glossary,feedback_quality,tooling_usability,25
openai-gpt-5.4-zero-shot-glossary,organization,tooling_usability,25
openai-gpt-5.4-zero-shot-glossary,exam_fairness,feedback_quality,25
openai-gpt-5.4-zero-shot-glossary,practical_application,feedback_quality,25
openai-gpt-5.4-zero-shot-glossary,materials,feedback_quality,24
openai-gpt-5.4-zero-shot-glossary,lecturer_quality,support,24
openai-gpt-5.4-zero-shot-glossary,organization,feedback_quality,24
openai-gpt-5.4-zero-shot-glossary,accessibility,feedback_quality,23
openai-gpt-5.4-zero-shot-glossary,clarity,tooling_usability,23
openai-gpt-5.4-zero-shot-glossary,clarity,feedback_quality,23
openai-gpt-5.4-zero-shot-glossary,clarity,support,22
openai-gpt-5.4-zero-shot-glossary,prerequisite_fit,support,22
openai-gpt-5.4-zero-shot-glossary,exam_fairness,tooling_usability,21
openai-gpt-5.4-zero-shot-glossary,feedback_quality,support,21
openai-gpt-5.4-zero-shot-glossary,workload,tooling_usability,21
openai-gpt-5.4-zero-shot-glossary,relevance,support,20
openai-gpt-5.4-zero-shot-glossary,workload,feedback_quality,20
openai-gpt-5.4-zero-shot-glossary,assessment_design,support,19
openai-gpt-5.4-zero-shot-glossary,materials,support,19
openai-gpt-5.4-zero-shot-glossary,peer_interaction,feedback_quality,19
openai-gpt-5.4-zero-shot-glossary,tooling_usability,feedback_quality,18
openai-gpt-5.4-zero-shot-glossary,grading_transparency,feedback_quality,17
openai-gpt-5.4-zero-shot-glossary,organization,support,17
openai-gpt-5.4-zero-shot-glossary,grading_transparency,tooling_usability,17
openai-gpt-5.4-zero-shot-glossary,assessment_design,tooling_usability,17
openai-gpt-5.4-zero-shot-glossary,exam_fairness,support,16
openai-gpt-5.4-zero-shot-glossary,workload,support,13
openai-gpt-5.4-zero-shot-glossary,grading_transparency,support,13
openai-gpt-5.4-zero-shot-glossary,pacing,feedback_quality,13
openai-gpt-5.4-zero-shot-glossary,tooling_usability,support,10
openai-gpt-5.4-zero-shot-glossary,pacing,tooling_usability,9
openai-gpt-5.4-zero-shot-glossary,pacing,support,7
openai-gpt-5.4-zero-shot-glossary,peer_interaction,interest,4
openai-gpt-5.4-zero-shot-glossary,support,interest,4
openai-gpt-5.4-zero-shot-glossary,overall_experience,interest,3
openai-gpt-5.4-zero-shot-glossary,assessment_design,overall_experience,3
